#gene	transcript	clone	chrom	strand	pep_length	spliced_length	start	stop	chrom_start	chrom_stop	genome_start	genome_stop	gmap	source	version	method
CC1G_05292.2	CC1G_05292T0	Chr_11	Chr_11	+1	267	804	971714	972703	971714	972703	7371422	7372411	0	BroadInstitute	2	predicted
CC1G_05293.2	CC1G_05293T0	Chr_11	Chr_11	-1	717	2154	972836	975228	972836	975228	7372544	7374936	0	BroadInstitute	2	predicted
CC1G_05294.2	CC1G_05294T0	Chr_11	Chr_11	-1	230	693	975608	976620	975608	976620	7375316	7376328	0	BroadInstitute	2	predicted
CC1G_05295.2	CC1G_05295T0	Chr_11	Chr_11	-1	588	1767	976991	980051	976991	980051	7376699	7379759	0	BroadInstitute	2	predicted
CC1G_05296.2	CC1G_05296T0	Chr_11	Chr_11	+1	152	459	980886	981344	980886	981344	7380594	7381052	0	BroadInstitute	2	predicted
CC1G_05297.2	CC1G_05297T0	Chr_11	Chr_11	-1	150	453	981724	982428	981724	982428	7381432	7382136	0	BroadInstitute	2	predicted
CC1G_05298.2	CC1G_05298T0	Chr_11	Chr_11	-1	139	420	983290	983890	983290	983890	7382998	7383598	0	BroadInstitute	2	predicted
CC1G_05299.2	CC1G_05299T0	Chr_11	Chr_11	-1	123	372	984981	985676	984981	985676	7384689	7385384	0	BroadInstitute	2	predicted
CC1G_05300.2	CC1G_05300T0	Chr_11	Chr_11	-1	605	1818	986736	989290	986736	989290	7386444	7388998	0	BroadInstitute	2	predicted
CC1G_05301.2	CC1G_05301T0	Chr_11	Chr_11	+1	493	1482	989603	991447	989603	991447	7389311	7391155	0	BroadInstitute	2	predicted
CC1G_05302.2	CC1G_05302T0	Chr_11	Chr_11	-1	383	1152	991841	993484	991841	993484	7391549	7393192	0	BroadInstitute	2	predicted
CC1G_15698.2	CC1G_15698T0	Chr_11	Chr_11	+1	785	2358	993594	996356	993594	996356	7393302	7396064	0	BroadInstitute	2	predicted
CC1G_15699.2	CC1G_15699T0	Chr_11	Chr_11	+1	88	267	996449	996781	996449	996781	7396157	7396489	0	BroadInstitute	2	predicted
CC1G_05304.2	CC1G_05304T0	Chr_11	Chr_11	-1	519	1560	997260	999851	997260	999851	7396968	7399559	0	BroadInstitute	2	predicted
CC1G_05305.2	CC1G_05305T0	Chr_11	Chr_11	+1	529	1590	1000855	1002607	1000855	1002607	7400563	7402315	0	BroadInstitute	2	predicted
CC1G_05306.2	CC1G_05306T0	Chr_11	Chr_11	-1	549	1650	1004128	1006714	1004128	1006714	7403836	7406422	0	BroadInstitute	2	predicted
CC1G_05307.2	CC1G_05307T0	Chr_11	Chr_11	-1	273	822	1007723	1008755	1007723	1008755	7407431	7408463	0	BroadInstitute	2	predicted
CC1G_05308.2	CC1G_05308T0	Chr_11	Chr_11	+1	1328	3987	1009683	1013889	1009683	1013889	7409391	7413597	0	BroadInstitute	2	predicted
CC1G_15700.2	CC1G_15700T0	Chr_11	Chr_11	+1	575	1728	1014737	1017278	1014737	1017278	7414445	7416986	0	BroadInstitute	2	predicted
CC1G_05311.2	CC1G_05311T0	Chr_11	Chr_11	+1	318	957	1017559	1018786	1017559	1018786	7417267	7418494	0	BroadInstitute	2	predicted
CC1G_05312.2	CC1G_05312T0	Chr_11	Chr_11	-1	317	954	1019323	1020457	1019323	1020457	7419031	7420165	0	BroadInstitute	2	predicted
CC1G_15701.2	CC1G_15701T0	Chr_11	Chr_11	-1	597	1794	1020768	1022678	1020768	1022678	7420476	7422386	0	BroadInstitute	2	predicted
CC1G_05313.2	CC1G_05313T0	Chr_11	Chr_11	-1	483	1452	1022955	1024676	1022955	1024676	7422663	7424384	0	BroadInstitute	2	predicted
CC1G_05314.2	CC1G_05314T0	Chr_11	Chr_11	-1	461	1386	1026195	1027685	1026195	1027685	7425903	7427393	0	BroadInstitute	2	predicted
CC1G_05316.2	CC1G_05316T0	Chr_11	Chr_11	-1	401	1206	1028872	1030387	1028872	1030387	7428580	7430095	0	BroadInstitute	2	predicted
CC1G_05317.2	CC1G_05317T0	Chr_11	Chr_11	+1	474	1425	1030998	1032685	1030998	1032685	7430706	7432393	0	BroadInstitute	2	predicted
CC1G_05318.2	CC1G_05318T0	Chr_11	Chr_11	+1	157	474	1033749	1034284	1033749	1034284	7433457	7433992	0	BroadInstitute	2	predicted
CC1G_05319.2	CC1G_05319T0	Chr_11	Chr_11	-1	1587	4764	1034681	1041003	1034681	1041003	7434389	7440711	0	BroadInstitute	2	predicted
CC1G_05320.2	CC1G_05320T0	Chr_11	Chr_11	+1	617	1854	1041503	1043593	1041503	1043593	7441211	7443301	0	BroadInstitute	2	predicted
CC1G_05321.2	CC1G_05321T0	Chr_11	Chr_11	-1	284	855	1044421	1045386	1044421	1045386	7444129	7445094	0	BroadInstitute	2	predicted
CC1G_05322.2	CC1G_05322T0	Chr_11	Chr_11	+1	777	2334	1045556	1048733	1045556	1048733	7445264	7448441	0	BroadInstitute	2	predicted
CC1G_05323.2	CC1G_05323T0	Chr_11	Chr_11	-1	2395	7188	1049143	1056719	1049143	1056719	7448851	7456427	0	BroadInstitute	2	predicted
CC1G_05324.2	CC1G_05324T0	Chr_11	Chr_11	+1	979	2940	1057969	1061357	1057969	1061357	7457677	7461065	0	BroadInstitute	2	predicted
CC1G_05325.2	CC1G_05325T0	Chr_11	Chr_11	+1	228	687	1061847	1063174	1061847	1063174	7461555	7462882	0	BroadInstitute	2	predicted
CC1G_12969.2	CC1G_12969T0	Chr_11	Chr_11	-1	706	2121	1064227	1066562	1064227	1066562	7463935	7466270	0	BroadInstitute	2	predicted
CC1G_15702.2	CC1G_15702T0	Chr_11	Chr_11	-1	84	255	1067154	1067568	1067154	1067568	7466862	7467276	0	BroadInstitute	2	predicted
CC1G_12970.2	CC1G_12970T0	Chr_11	Chr_11	-1	787	2364	1068792	1071438	1068792	1071438	7468500	7471146	0	BroadInstitute	2	predicted
CC1G_15703.2	CC1G_15703T0	Chr_11	Chr_11	-1	575	1728	1072045	1074625	1072045	1074625	7471753	7474333	0	BroadInstitute	2	predicted
CC1G_15704.2	CC1G_15704T0	Chr_11	Chr_11	+1	2305	6918	1075260	1083931	1075260	1083931	7474968	7483639	0	BroadInstitute	2	predicted
CC1G_11603.2	CC1G_11603T0	Chr_11	Chr_11	-1	219	660	1084607	1085721	1084607	1085721	7484315	7485429	0	BroadInstitute	2	predicted
CC1G_11604.2	CC1G_11604T0	Chr_11	Chr_11	-1	268	807	1086017	1086881	1086017	1086881	7485725	7486589	0	BroadInstitute	2	predicted
CC1G_11605.2	CC1G_11605T0	Chr_11	Chr_11	+1	472	1419	1087038	1089126	1087038	1089126	7486746	7488834	0	BroadInstitute	2	predicted
CC1G_11606.2	CC1G_11606T0	Chr_11	Chr_11	+1	680	2043	1089991	1092315	1089991	1092315	7489699	7492023	0	BroadInstitute	2	predicted
CC1G_11607.2	CC1G_11607T0	Chr_11	Chr_11	+1	808	2427	1093278	1095987	1093278	1095987	7492986	7495695	0	BroadInstitute	2	predicted
CC1G_11608.2	CC1G_11608T0	Chr_11	Chr_11	-1	1049	3150	1096660	1100385	1096660	1100385	7496368	7500093	0	BroadInstitute	2	predicted
CC1G_11611.2	CC1G_11611T0	Chr_11	Chr_11	-1	71	216	1102848	1103136	1102848	1103136	7502556	7502844	0	BroadInstitute	2	predicted
CC1G_11612.2	CC1G_11612T0	Chr_11	Chr_11	+1	216	651	1103786	1105011	1103786	1105011	7503494	7504719	0	BroadInstitute	2	predicted
CC1G_11613.2	CC1G_11613T0	Chr_11	Chr_11	-1	345	1038	1105575	1106612	1105575	1106612	7505283	7506320	0	BroadInstitute	2	predicted
CC1G_15705.2	CC1G_15705T0	Chr_11	Chr_11	-1	71	216	1107831	1108098	1107831	1108098	7507539	7507806	0	BroadInstitute	2	predicted
CC1G_11614.2	CC1G_11614T0	Chr_11	Chr_11	+1	429	1290	1108361	1110199	1108361	1110199	7508069	7509907	0	BroadInstitute	2	predicted
CC1G_11615.2	CC1G_11615T0	Chr_11	Chr_11	+1	495	1488	1110979	1113613	1110979	1113613	7510687	7513321	0	BroadInstitute	2	predicted
CC1G_15706.2	CC1G_15706T0	Chr_11	Chr_11	+1	1203	3612	1114856	1119272	1114856	1119272	7514564	7518980	0	BroadInstitute	2	predicted
CC1G_11618.2	CC1G_11618T0	Chr_11	Chr_11	+1	245	738	1120645	1121617	1120645	1121617	7520353	7521325	0	BroadInstitute	2	predicted
CC1G_11619.2	CC1G_11619T0	Chr_11	Chr_11	-1	178	537	1123007	1123602	1123007	1123602	7522715	7523310	0	BroadInstitute	2	predicted
CC1G_11620.2	CC1G_11620T0	Chr_11	Chr_11	+1	429	1290	1124170	1125459	1124170	1125459	7523878	7525167	0	BroadInstitute	2	predicted
CC1G_15707.2	CC1G_15707T0	Chr_11	Chr_11	+1	70	213	1126978	1127190	1126978	1127190	7526686	7526898	0	BroadInstitute	2	predicted
CC1G_15708.2	CC1G_15708T0	Chr_11	Chr_11	+1	789	2370	1127230	1129599	1127230	1129599	7526938	7529307	0	BroadInstitute	2	predicted
CC1G_11623.2	CC1G_11623T0	Chr_11	Chr_11	-1	397	1194	1133944	1135690	1133944	1135690	7533652	7535398	0	BroadInstitute	2	predicted
CC1G_11629.2	CC1G_11629T0	Chr_11	Chr_11	-1	379	1140	1147103	1148582	1147103	1148582	7546811	7548290	0	BroadInstitute	2	predicted
CC1G_10916.2	CC1G_10916T0	Chr_11	Chr_11	-1	305	918	1148856	1150088	1148856	1150088	7548564	7549796	0	BroadInstitute	2	predicted
CC1G_10907.2	CC1G_10907T0	Chr_11	Chr_11	+1	80	243	1168831	1169370	1168831	1169370	7568539	7569078	0	BroadInstitute	2	predicted
CC1G_10906.2	CC1G_10906T0	Chr_11	Chr_11	+1	217	654	1172246	1172899	1172246	1172899	7571954	7572607	0	BroadInstitute	2	predicted
CC1G_10905.2	CC1G_10905T0	Chr_11	Chr_11	+1	1035	3108	1173256	1176690	1173256	1176690	7572964	7576398	0	BroadInstitute	2	predicted
CC1G_10904.2	CC1G_10904T0	Chr_11	Chr_11	-1	610	1833	1176729	1178852	1176729	1178852	7576437	7578560	0	BroadInstitute	2	predicted
CC1G_10903.2	CC1G_10903T0	Chr_11	Chr_11	-1	158	477	1180578	1182100	1180578	1182100	7580286	7581808	0	BroadInstitute	2	predicted
CC1G_10898.2	CC1G_10898T0	Chr_11	Chr_11	-1	554	1665	1190325	1192555	1190325	1192555	7590033	7592263	0	BroadInstitute	2	predicted
CC1G_10897.2	CC1G_10897T0	Chr_11	Chr_11	-1	723	2172	1193109	1195330	1193109	1195330	7592817	7595038	0	BroadInstitute	2	predicted
CC1G_15709.2	CC1G_15709T0	Chr_11	Chr_11	-1	179	540	1195654	1197177	1195654	1197177	7595362	7596885	0	BroadInstitute	2	predicted
CC1G_10896.2	CC1G_10896T0	Chr_11	Chr_11	+1	69	210	1197967	1198321	1197967	1198321	7597675	7598029	0	BroadInstitute	2	predicted
CC1G_10895.2	CC1G_10895T0	Chr_11	Chr_11	-1	559	1680	1199660	1201445	1199660	1201445	7599368	7601153	0	BroadInstitute	2	predicted
CC1G_10894.2	CC1G_10894T0	Chr_11	Chr_11	-1	400	1203	1203433	1204923	1203433	1204923	7603141	7604631	0	BroadInstitute	2	predicted
CC1G_10893.2	CC1G_10893T0	Chr_11	Chr_11	-1	414	1245	1205962	1207646	1205962	1207646	7605670	7607354	0	BroadInstitute	2	predicted
CC1G_10892.2	CC1G_10892T0	Chr_11	Chr_11	-1	506	1521	1208944	1210650	1208944	1210650	7608652	7610358	0	BroadInstitute	2	predicted
CC1G_10891.2	CC1G_10891T0	Chr_11	Chr_11	+1	180	543	1211075	1211765	1211075	1211765	7610783	7611473	0	BroadInstitute	2	predicted
CC1G_10890.2	CC1G_10890T0	Chr_11	Chr_11	+1	423	1272	1212659	1214130	1212659	1214130	7612367	7613838	0	BroadInstitute	2	predicted
CC1G_15710.2	CC1G_15710T0	Chr_11	Chr_11	-1	171	516	1214279	1214915	1214279	1214915	7613987	7614623	0	BroadInstitute	2	predicted
CC1G_15711.2	CC1G_15711T0	Chr_11	Chr_11	+1	79	240	1215716	1216067	1215716	1216067	7615424	7615775	0	BroadInstitute	2	predicted
CC1G_15712.2	CC1G_15712T0	Chr_11	Chr_11	+1	69	210	1216102	1216479	1216102	1216479	7615810	7616187	0	BroadInstitute	2	predicted
CC1G_10888.2	CC1G_10888T0	Chr_11	Chr_11	+1	489	1470	1217476	1219720	1217476	1219720	7617184	7619428	0	BroadInstitute	2	predicted
CC1G_10887.2	CC1G_10887T0	Chr_11	Chr_11	+1	1410	4233	1221435	1226209	1221435	1226209	7621143	7625917	0	BroadInstitute	2	predicted
CC1G_15713.2	CC1G_15713T0	Chr_11	Chr_11	-1	109	330	1227191	1227818	1227191	1227818	7626899	7627526	0	BroadInstitute	2	predicted
CC1G_15714.2	CC1G_15714T0	Chr_11	Chr_11	-1	232	699	1228199	1229377	1228199	1229377	7627907	7629085	0	BroadInstitute	2	predicted
CC1G_15715.2	CC1G_15715T0	Chr_11	Chr_11	-1	109	330	1230306	1231063	1230306	1231063	7630014	7630771	0	BroadInstitute	2	predicted
CC1G_15716.2	CC1G_15716T0	Chr_11	Chr_11	-1	135	408	1231391	1231903	1231391	1231903	7631099	7631611	0	BroadInstitute	2	predicted
CC1G_10883.2	CC1G_10883T0	Chr_11	Chr_11	+1	564	1695	1237009	1238863	1237009	1238863	7636717	7638571	0	BroadInstitute	2	predicted
CC1G_11342.2	CC1G_11342T0	Chr_11	Chr_11	-1	312	939	1242257	1243253	1242257	1243253	7641965	7642961	0	BroadInstitute	2	predicted
CC1G_11341.2	CC1G_11341T0	Chr_11	Chr_11	+1	240	723	1246505	1247959	1246505	1247959	7646213	7647667	0	BroadInstitute	2	predicted
CC1G_11340.2	CC1G_11340T0	Chr_11	Chr_11	+1	871	2616	1248863	1251956	1248863	1251956	7648571	7651664	0	BroadInstitute	2	predicted
CC1G_11339.2	CC1G_11339T0	Chr_11	Chr_11	+1	883	2652	1252385	1255652	1252385	1255652	7652093	7655360	0	BroadInstitute	2	predicted
CC1G_11338.2	CC1G_11338T0	Chr_11	Chr_11	-1	420	1263	1255976	1257353	1255976	1257353	7655684	7657061	0	BroadInstitute	2	predicted
CC1G_15717.2	CC1G_15717T0	Chr_11	Chr_11	-1	92	279	1257847	1258509	1257847	1258509	7657555	7658217	0	BroadInstitute	2	predicted
CC1G_11337.2	CC1G_11337T0	Chr_11	Chr_11	+1	563	1692	1260135	1262389	1260135	1262389	7659843	7662097	0	BroadInstitute	2	predicted
CC1G_11336.2	CC1G_11336T0	Chr_11	Chr_11	-1	467	1404	1263179	1265217	1263179	1265217	7662887	7664925	0	BroadInstitute	2	predicted
CC1G_11335.2	CC1G_11335T0	Chr_11	Chr_11	+1	321	966	1266591	1268091	1266591	1268091	7666299	7667799	0	BroadInstitute	2	predicted
CC1G_11334.2	CC1G_11334T0	Chr_11	Chr_11	+1	464	1395	1268470	1270246	1268470	1270246	7668178	7669954	0	BroadInstitute	2	predicted
CC1G_15718.2	CC1G_15718T0	Chr_11	Chr_11	-1	116	351	1271391	1271867	1271391	1271867	7671099	7671575	0	BroadInstitute	2	predicted
CC1G_11333.2	CC1G_11333T0	Chr_11	Chr_11	+1	784	2355	1272206	1275378	1272206	1275378	7671914	7675086	0	BroadInstitute	2	predicted
CC1G_11332.2	CC1G_11332T0	Chr_11	Chr_11	-1	510	1533	1275766	1277375	1275766	1277375	7675474	7677083	0	BroadInstitute	2	predicted
CC1G_11331.2	CC1G_11331T0	Chr_11	Chr_11	-1	508	1527	1277902	1279500	1277902	1279500	7677610	7679208	0	BroadInstitute	2	predicted
CC1G_11330.2	CC1G_11330T0	Chr_11	Chr_11	-1	339	1020	1279999	1281189	1279999	1281189	7679707	7680897	0	BroadInstitute	2	predicted
CC1G_11329.2	CC1G_11329T0	Chr_11	Chr_11	-1	172	519	1281658	1282176	1281658	1282176	7681366	7681884	0	BroadInstitute	2	predicted
CC1G_11328.2	CC1G_11328T0	Chr_11	Chr_11	-1	995	2988	1282254	1285471	1282254	1285471	7681962	7685179	0	BroadInstitute	2	predicted
CC1G_11327.2	CC1G_11327T0	Chr_11	Chr_11	-1	258	777	1286711	1287586	1286711	1287586	7686419	7687294	0	BroadInstitute	2	predicted
CC1G_11326.2	CC1G_11326T0	Chr_11	Chr_11	+1	122	369	1287854	1288489	1287854	1288489	7687562	7688197	0	BroadInstitute	2	predicted
CC1G_11325.2	CC1G_11325T0	Chr_11	Chr_11	-1	714	2145	1289692	1292587	1289692	1292587	7689400	7692295	0	BroadInstitute	2	predicted
CC1G_11324.2	CC1G_11324T0	Chr_11	Chr_11	+1	837	2514	1293247	1296065	1293247	1296065	7692955	7695773	0	BroadInstitute	2	predicted
CC1G_11323.2	CC1G_11323T0	Chr_11	Chr_11	-1	90	273	1296303	1296718	1296303	1296718	7696011	7696426	0	BroadInstitute	2	predicted
CC1G_11322.2	CC1G_11322T0	Chr_11	Chr_11	-1	1019	3060	1297668	1301437	1297668	1301437	7697376	7701145	0	BroadInstitute	2	predicted
CC1G_11321.2	CC1G_11321T0	Chr_11	Chr_11	+1	347	1044	1302875	1304536	1302875	1304536	7702583	7704244	0	BroadInstitute	2	predicted
CC1G_11320.2	CC1G_11320T0	Chr_11	Chr_11	+1	884	2655	1307663	1310594	1307663	1310594	7707371	7710302	0	BroadInstitute	2	predicted
CC1G_11319.2	CC1G_11319T0	Chr_11	Chr_11	-1	605	1818	1311194	1313133	1311194	1313133	7710902	7712841	0	BroadInstitute	2	predicted
CC1G_11318.2	CC1G_11318T0	Chr_11	Chr_11	+1	397	1194	1314136	1315451	1314136	1315451	7713844	7715159	0	BroadInstitute	2	predicted
CC1G_11317.2	CC1G_11317T0	Chr_11	Chr_11	-1	461	1386	1315656	1317565	1315656	1317565	7715364	7717273	0	BroadInstitute	2	predicted
CC1G_05544.2	CC1G_05544T0	Chr_11	Chr_11	+1	219	660	1329894	1330841	1329894	1330841	7729602	7730549	0	BroadInstitute	2	predicted
CC1G_05543.2	CC1G_05543T0	Chr_11	Chr_11	-1	559	1680	1331412	1333153	1331412	1333153	7731120	7732861	0	BroadInstitute	2	predicted
CC1G_05542.2	CC1G_05542T0	Chr_11	Chr_11	-1	155	468	1335365	1336264	1335365	1336264	7735073	7735972	0	BroadInstitute	2	predicted
CC1G_05541.2	CC1G_05541T0	Chr_11	Chr_11	-1	433	1302	1337293	1339344	1337293	1339344	7737001	7739052	0	BroadInstitute	2	predicted
CC1G_05540.2	CC1G_05540T0	Chr_11	Chr_11	+1	217	654	1340079	1340965	1340079	1340965	7739787	7740673	0	BroadInstitute	2	predicted
CC1G_15719.2	CC1G_15719T0	Chr_11	Chr_11	+1	194	585	1341753	1343124	1341753	1343124	7741461	7742832	0	BroadInstitute	2	predicted
CC1G_05539.2	CC1G_05539T0	Chr_11	Chr_11	-1	645	1938	1345866	1348370	1345866	1348370	7745574	7748078	0	BroadInstitute	2	predicted
CC1G_05538.2	CC1G_05538T0	Chr_11	Chr_11	-1	248	747	1348593	1349674	1348593	1349674	7748301	7749382	0	BroadInstitute	2	predicted
CC1G_05537.2	CC1G_05537T0	Chr_11	Chr_11	+1	1165	3498	1349883	1353954	1349883	1353954	7749591	7753662	0	BroadInstitute	2	predicted
CC1G_05536.2	CC1G_05536T0	Chr_11	Chr_11	+1	483	1452	1354477	1356546	1354477	1356546	7754185	7756254	0	BroadInstitute	2	predicted
CC1G_15720.2	CC1G_15720T0	Chr_11	Chr_11	-1	58	177	1357811	1357987	1357811	1357987	7757519	7757695	0	BroadInstitute	2	predicted
CC1G_05535.2	CC1G_05535T0	Chr_11	Chr_11	-1	277	834	1357992	1358989	1357992	1358989	7757700	7758697	0	BroadInstitute	2	predicted
CC1G_05534.2	CC1G_05534T0	Chr_11	Chr_11	-1	383	1152	1359603	1361126	1359603	1361126	7759311	7760834	0	BroadInstitute	2	predicted
CC1G_05533.2	CC1G_05533T0	Chr_11	Chr_11	-1	432	1299	1362582	1364006	1362582	1364006	7762290	7763714	0	BroadInstitute	2	predicted
CC1G_05532.2	CC1G_05532T0	Chr_11	Chr_11	+1	261	786	1364651	1365546	1364651	1365546	7764359	7765254	0	BroadInstitute	2	predicted
CC1G_05531.2	CC1G_05531T0	Chr_11	Chr_11	+1	123	372	1366806	1367279	1366806	1367279	7766514	7766987	0	BroadInstitute	2	predicted
CC1G_05530.2	CC1G_05530T0	Chr_11	Chr_11	+1	442	1329	1369617	1371207	1369617	1371207	7769325	7770915	0	BroadInstitute	2	predicted
CC1G_05529.2	CC1G_05529T0	Chr_11	Chr_11	+1	594	1785	1373597	1375439	1373597	1375439	7773305	7775147	0	BroadInstitute	2	predicted
CC1G_05528.2	CC1G_05528T0	Chr_11	Chr_11	+1	750	2253	1376544	1378907	1376544	1378907	7776252	7778615	0	BroadInstitute	2	predicted
CC1G_05527.2	CC1G_05527T0	Chr_11	Chr_11	+1	356	1071	1379314	1380557	1379314	1380557	7779022	7780265	0	BroadInstitute	2	predicted
CC1G_05526.2	CC1G_05526T0	Chr_11	Chr_11	+1	179	540	1381119	1381720	1381119	1381720	7780827	7781428	0	BroadInstitute	2	predicted
CC1G_05525.2	CC1G_05525T0	Chr_11	Chr_11	+1	380	1143	1382703	1384020	1382703	1384020	7782411	7783728	0	BroadInstitute	2	predicted
CC1G_05524.2	CC1G_05524T0	Chr_11	Chr_11	+1	962	2889	1384833	1388160	1384833	1388160	7784541	7787868	0	BroadInstitute	2	predicted
CC1G_05523.2	CC1G_05523T0	Chr_11	Chr_11	-1	494	1485	1388499	1390211	1388499	1390211	7788207	7789919	0	BroadInstitute	2	predicted
CC1G_05522.2	CC1G_05522T0	Chr_11	Chr_11	+1	266	801	1390407	1391424	1390407	1391424	7790115	7791132	0	BroadInstitute	2	predicted
CC1G_05521.2	CC1G_05521T0	Chr_11	Chr_11	+1	257	774	1391741	1392746	1391741	1392746	7791449	7792454	0	BroadInstitute	2	predicted
CC1G_05520.2	CC1G_05520T0	Chr_11	Chr_11	+1	579	1740	1395106	1397069	1395106	1397069	7794814	7796777	0	BroadInstitute	2	predicted
CC1G_05519.2	CC1G_05519T0	Chr_11	Chr_11	-1	138	417	1399652	1400068	1399652	1400068	7799360	7799776	0	BroadInstitute	2	predicted
CC1G_05518.2	CC1G_05518T0	Chr_11	Chr_11	+1	725	2178	1401940	1404217	1401940	1404217	7801648	7803925	0	BroadInstitute	2	predicted
CC1G_05517.2	CC1G_05517T0	Chr_11	Chr_11	-1	446	1341	1404557	1405957	1404557	1405957	7804265	7805665	0	BroadInstitute	2	predicted
CC1G_05516.2	CC1G_05516T0	Chr_11	Chr_11	+1	779	2340	1408451	1411126	1408451	1411126	7808159	7810834	0	BroadInstitute	2	predicted
CC1G_05515.2	CC1G_05515T0	Chr_11	Chr_11	-1	372	1119	1411302	1412710	1411302	1412710	7811010	7812418	0	BroadInstitute	2	predicted
CC1G_05514.2	CC1G_05514T0	Chr_11	Chr_11	+1	1060	3183	1414055	1417343	1414055	1417343	7813763	7817051	0	BroadInstitute	2	predicted
CC1G_05513.2	CC1G_05513T0	Chr_11	Chr_11	+1	378	1137	1418064	1419395	1418064	1419395	7817772	7819103	0	BroadInstitute	2	predicted
CC1G_05512.2	CC1G_05512T0	Chr_11	Chr_11	-1	647	1944	1419756	1422094	1419756	1422094	7819464	7821802	0	BroadInstitute	2	predicted
CC1G_05511.2	CC1G_05511T0	Chr_11	Chr_11	+1	567	1704	1422387	1424668	1422387	1424668	7822095	7824376	0	BroadInstitute	2	predicted
CC1G_05510.2	CC1G_05510T0	Chr_11	Chr_11	+1	644	1935	1426857	1429030	1426857	1429030	7826565	7828738	0	BroadInstitute	2	predicted
CC1G_05509.2	CC1G_05509T0	Chr_11	Chr_11	+1	497	1494	1430009	1431866	1430009	1431866	7829717	7831574	0	BroadInstitute	2	predicted
CC1G_05508.2	CC1G_05508T0	Chr_11	Chr_11	+1	962	2889	1432331	1435958	1432331	1435958	7832039	7835666	0	BroadInstitute	2	predicted
CC1G_05507.2	CC1G_05507T0	Chr_11	Chr_11	-1	616	1851	1438652	1441107	1438652	1441107	7838360	7840815	0	BroadInstitute	2	predicted
CC1G_15721.2	CC1G_15721T0	Chr_11	Chr_11	+1	66	201	1441596	1442102	1441596	1442102	7841304	7841810	0	BroadInstitute	2	predicted
CC1G_15722.2	CC1G_15722T0	Chr_11	Chr_11	-1	55	168	1443990	1444487	1443990	1444487	7843698	7844195	0	BroadInstitute	2	predicted
CC1G_15723.2	CC1G_15723T0	Chr_11	Chr_11	+1	76	231	1445553	1446607	1445553	1446607	7845261	7846315	0	BroadInstitute	2	predicted
CC1G_05506.2	CC1G_05506T0	Chr_11	Chr_11	-1	181	546	1446956	1447764	1446956	1447764	7846664	7847472	0	BroadInstitute	2	predicted
CC1G_05505.2	CC1G_05505T0	Chr_11	Chr_11	-1	1213	3642	1448379	1452967	1448379	1452967	7848087	7852675	0	BroadInstitute	2	predicted
CC1G_05504.2	CC1G_05504T0	Chr_11	Chr_11	-1	407	1224	1453284	1454695	1453284	1454695	7852992	7854403	0	BroadInstitute	2	predicted
CC1G_15724.2	CC1G_15724T0	Chr_11	Chr_11	+1	477	1434	1455132	1456884	1455132	1456884	7854840	7856592	0	BroadInstitute	2	predicted
CC1G_15725.2	CC1G_15725T0	Chr_11	Chr_11	+1	397	1194	1457162	1458744	1457162	1458744	7856870	7858452	0	BroadInstitute	2	predicted
CC1G_05502.2	CC1G_05502T0	Chr_11	Chr_11	-1	314	945	1459090	1460687	1459090	1460687	7858798	7860395	0	BroadInstitute	2	predicted
CC1G_05501.2	CC1G_05501T0	Chr_11	Chr_11	-1	547	1644	1461945	1463652	1461945	1463652	7861653	7863360	0	BroadInstitute	2	predicted
CC1G_05500.2	CC1G_05500T0	Chr_11	Chr_11	-1	554	1665	1465011	1466936	1465011	1466936	7864719	7866644	0	BroadInstitute	2	predicted
CC1G_05499.2	CC1G_05499T0	Chr_11	Chr_11	-1	621	1866	1467204	1469918	1467204	1469918	7866912	7869626	0	BroadInstitute	2	predicted
CC1G_05498.2	CC1G_05498T0	Chr_11	Chr_11	+1	573	1722	1471157	1473499	1471157	1473499	7870865	7873207	0	BroadInstitute	2	predicted
CC1G_05497.2	CC1G_05497T0	Chr_11	Chr_11	+1	418	1257	1474590	1475959	1474590	1475959	7874298	7875667	0	BroadInstitute	2	predicted
CC1G_05496.2	CC1G_05496T0	Chr_11	Chr_11	-1	1301	3906	1476202	1481906	1476202	1481906	7875910	7881614	0	BroadInstitute	2	predicted
CC1G_05495.2	CC1G_05495T0	Chr_11	Chr_11	+1	701	2106	1482101	1484358	1482101	1484358	7881809	7884066	0	BroadInstitute	2	predicted
CC1G_05494.2	CC1G_05494T0	Chr_11	Chr_11	-1	851	2556	1484496	1487158	1484496	1487158	7884204	7886866	0	BroadInstitute	2	predicted
CC1G_05493.2	CC1G_05493T0	Chr_11	Chr_11	+1	270	813	1487362	1488337	1487362	1488337	7887070	7888045	0	BroadInstitute	2	predicted
CC1G_05492.2	CC1G_05492T0	Chr_11	Chr_11	+1	257	774	1489892	1490665	1489892	1490665	7889600	7890373	0	BroadInstitute	2	predicted
CC1G_05491.2	CC1G_05491T0	Chr_11	Chr_11	-1	923	2772	1491389	1494212	1491389	1494212	7891097	7893920	0	BroadInstitute	2	predicted
CC1G_05490.2	CC1G_05490T0	Chr_11	Chr_11	+1	640	1923	1495509	1497756	1495509	1497756	7895217	7897464	0	BroadInstitute	2	predicted
CC1G_05489.2	CC1G_05489T0	Chr_11	Chr_11	+1	191	576	1498372	1498947	1498372	1498947	7898080	7898655	0	BroadInstitute	2	predicted
