model1	model2	geneconfig	chrom	model1_start	model1_stop	model1_strand	model2_start	model2_end	model2_strand	ds	dn	dsdn
CC1G_14730	CC1G_07931	HeadtoTail	Ccin_Chr_5	3187259	3188283	-	3188369	3189076	-	NA	1.08	NA
CC1G_07328	CC1G_07329	HeadtoTail	Ccin_Chr_12	1667945	1668879	-	1670199	1671645	-	NA	0.48	NA
CC1G_11004	CC1G_11005	HeadtoTail	Ccin_Chr_5	3367575	3368277	+	3368311	3369321	+	NA	0.95	NA
CC1G_15454	CC1G_07327	HeadtoTail	Ccin_Chr_12	1662304	1664097	-	1664712	1666914	-	NA	0.73	NA
CC1G_04662	CC1G_04663	HeadtoTail	Ccin_Chr_3	746712	747483	-	748062	749257	-	2.24	1.82	1.23
CC1G_14788	CC1G_04018	HeadtoTail	Ccin_Chr_7	691718	693101	+	693570	694953	+	NA	0.94	NA
CC1G_04024	CC1G_14789	HeadtoTail	Ccin_Chr_7	711506	713085	-	713361	714528	-	1.21	0.44	2.72
CC1G_04023	CC1G_04024	HeadtoTail	Ccin_Chr_7	709408	710691	-	711506	713085	-	1.12	0.44	2.56
CC1G_04117	CC1G_04118	HeadtoTail	Ccin_Chr_4	3388915	3389808	+	3390460	3391328	+	3.56	1.58	2.26
CC1G_04998	CC1G_15042	HeadtoTail	Ccin_Chr_8	1777252	1779151	+	1779363	1780564	+	NA	1.12	NA
CC1G_02585	CC1G_02586	HeadtoTail	Ccin_Chr_4	157003	157943	+	159553	161319	+	2.17	0.49	4.44
CC1G_14059	CC1G_14060	HeadtoTail	Ccin_Chr_3	97914	100460	+	100793	103371	+	2.27	1.31	1.73
CC1G_01215	CC1G_01216	HeadtoTail	Ccin_Chr_2	1217207	1218281	+	1218454	1219451	+	NA	0.19	NA
CC1G_02107	CC1G_02108	HeadtoTail	Ccin_Chr_10	1667920	1668552	-	1669372	1669998	-	0.99	0.36	2.72
CC1G_02212	CC1G_02213	HeadtoTail	Ccin_Chr_10	1943308	1943919	-	1944260	1944862	-	1.95	1.03	1.89
CC1G_03843	CC1G_03844	HeadtoTail	Ccin_Chr_2	2379279	2380748	+	2381263	2383187	+	NA	0.91	NA
CC1G_03840	CC1G_03841	HeadtoTail	Ccin_Chr_2	2373826	2375167	+	2375780	2376784	+	NA	1.23	NA
CC1G_08701	CC1G_08702	HeadtoTail	Ccin_Chr_6	513615	514499	-	514822	516596	-	3.21	1.40	2.30
CC1G_09130	CC1G_09131	HeadtoTail	Ccin_Chr_10	1158478	1158806	+	1158830	1160084	+	NA	0.83	NA
CC1G_03841	CC1G_03842	HeadtoTail	Ccin_Chr_2	2375780	2376784	+	2377020	2379030	+	NA	1.11	NA
CC1G_03842	CC1G_03843	HeadtoTail	Ccin_Chr_2	2377020	2379030	+	2379279	2380748	+	2.15	0.91	2.35
CC1G_15691	CC1G_05269	HeadtoTail	Ccin_Chr_11	908052	908436	+	909124	909888	+	NA	0.91	NA
CC1G_08702	CC1G_15536	HeadtoTail	Ccin_Chr_6	514822	516596	-	517419	518226	-	1.81	0.42	4.35
CC1G_03844	CC1G_13966	HeadtoTail	Ccin_Chr_2	2381263	2383187	+	2383344	2386967	+	NA	1.21	NA
CC1G_05262	CC1G_05263	HeadtoTail	Ccin_Chr_11	886615	887914	+	888301	889645	+	NA	0.24	NA
CC1G_03863	CC1G_03864	HeadtoTail	Ccin_Chr_2	2432652	2433743	-	2434019	2435720	-	3.45	1.26	2.75
CC1G_03443	CC1G_03444	HeadtoTail	Ccin_Chr_8	842542	844105	-	845225	845894	-	2.58	1.10	2.35
CC1G_03959	CC1G_03960	HeadtoTail	Ccin_Chr_7	526117	526683	-	527349	528350	-	1.45	0.62	2.35
CC1G_03934	CC1G_03935	HeadtoTail	Ccin_Chr_7	455699	456600	+	456940	458231	+	1.31	0.37	3.55
CC1G_15533	CC1G_15534	HeadtoTail	Ccin_Chr_6	499289	500253	-	500678	502196	-	3.08	1.11	2.78
CC1G_10426	CC1G_03929	HeadtoTail	Ccin_Chr_7	430520	431770	-	433888	435190	-	3.55	0.42	8.46
CC1G_13642	CC1G_13643	HeadtoTail	Ccin_Chr_1	1674087	1675608	-	1676034	1679154	-	3.16	1.43	2.20
CC1G_09154	CC1G_09155	HeadtoTail	Ccin_Chr_2	2790124	2790839	-	2791823	2792429	-	NA	0.36	NA
CC1G_10211	CC1G_15477	HeadtoTail	Ccin_Chr_12	1926042	1926500	-	1926823	1927426	-	1.88	0.88	2.14
CC1G_09720	CC1G_09721	HeadtoTail	Ccin_Chr_10	1277810	1279265	+	1279825	1281581	+	2.83	0.33	8.57
CC1G_09721	CC1G_09722	HeadtoTail	Ccin_Chr_10	1279825	1281581	+	1282176	1283861	+	NA	0.29	NA
CC1G_09719	CC1G_09720	TailtoTail	Ccin_Chr_10	1275091	1277365	-	1277810	1279265	+	NA	0.95	NA
CC1G_07581	CC1G_07582	HeadtoTail	Ccin_Chr_4	2540781	2541545	-	2542576	2543760	-	3.14	0.70	4.49
CC1G_13757	CC1G_00647	HeadtoTail	Ccin_Chr_1	3462696	3463727	-	3464708	3466032	-	NA	0.22	NA
CC1G_14147	CC1G_14148	HeadtoTail	Ccin_Chr_3	1254411	1255900	+	1256653	1257471	+	2.29	0.84	2.72
CC1G_00647	CC1G_00648	HeadtoTail	Ccin_Chr_1	3464708	3466032	-	3466868	3468138	-	3.50	0.25	14.01
CC1G_13821	CC1G_13201	TailtoTail	Ccin_Chr_2	165423	166004	-	166006	167017	+	0.72	0.40	1.80
CC1G_14001	CC1G_06067	HeadtoTail	Ccin_Chr_2	2918138	2919601	+	2920236	2921264	+	3.87	0.42	9.11
CC1G_06067	CC1G_06068	HeadtoTail	Ccin_Chr_2	2920236	2921264	+	2922847	2924272	+	NA	0.31	NA
CC1G_06880	CC1G_06881	TailtoTail	Ccin_Chr_3	2418703	2419621	-	2421005	2421769	+	NA	0.95	NA
CC1G_06884	CC1G_06885	HeadtoHead	Ccin_Chr_3	2431661	2432509	+	2432553	2433308	-	NA	0.66	NA
CC1G_15648	CC1G_10624	HeadtoTail	Ccin_Chr_11	165451	166415	+	173395	175624	+	NA	1.36	NA
CC1G_01783	CC1G_01784	HeadtoTail	Ccin_Chr_1	2551954	2554178	-	2554397	2556162	-	NA	1.26	NA
CC1G_10693	CC1G_10694	HeadtoTail	Ccin_Chr_2	379781	382261	+	383779	385058	+	2.29	0.95	2.40
CC1G_14307	CC1G_14308	HeadtoTail	Ccin_Chr_3	3595800	3597244	+	3597510	3597901	+	NA	1.26	NA
CC1G_11920	CC1G_11922	HeadtoTail	Ccin_Chr_9	2369316	2370196	-	2371093	2372130	-	1.16	0.62	1.86
CC1G_14818	CC1G_00807	HeadtoTail	Ccin_Chr_7	1097091	1098792	-	1099068	1101236	-	0.31	0.14	2.20
CC1G_02557	CC1G_02558	HeadtoTail	Ccin_Chr_9	1147884	1149142	+	1149466	1150992	+	2.11	0.52	4.06
CC1G_02748	CC1G_02749	HeadtoTail	Ccin_Chr_1	111847	112952	-	113641	115420	-	1.98	0.60	3.27
CC1G_15342	CC1G_15343	HeadtoTail	Ccin_Chr_10	1760919	1763095	+	1763373	1765577	+	NA	0.36	NA
CC1G_04292	CC1G_04293	HeadtoHead	Ccin_Chr_2	1648656	1650154	+	1650944	1653198	-	NA	1.51	NA
CC1G_14577	CC1G_00030	HeadtoTail	Ccin_Chr_5	940104	941049	-	941975	943420	-	2.38	0.68	3.51
CC1G_14576	CC1G_14577	HeadtoTail	Ccin_Chr_5	938280	939210	-	940104	941049	-	1.91	0.67	2.86
CC1G_02573	CC1G_02574	HeadtoTail	Ccin_Chr_4	127834	128888	-	130244	131296	-	0.85	0.30	2.82
CC1G_05222	CC1G_05223	HeadtoTail	Ccin_Chr_11	772894	774400	+	774786	776260	+	2.22	0.66	3.36
CC1G_00584	CC1G_00585	HeadtoTail	Ccin_Chr_1	3303231	3305194	+	3305668	3307412	+	NA	1.75	NA
CC1G_03602	CC1G_03603	HeadtoTail	Ccin_Chr_9	1932273	1936236	+	1936868	1940940	+	NA	0.63	NA
CC1G_12018	CC1G_12019	TailtoTail	Ccin_Chr_2	1338437	1340344	-	1340493	1348517	+	NA	1.28	NA
CC1G_02531	CC1G_02532	HeadtoTail	Ccin_Chr_9	1069717	1071220	+	1071734	1072679	+	2.92	0.70	4.19
CC1G_12589	CC1G_12590	HeadtoTail	Ccin_Chr_11	574019	577889	-	578589	580246	-	NA	1.12	NA
CC1G_15669	CC1G_15670	HeadtoTail	Ccin_Chr_11	539687	540404	+	540898	542035	+	NA	0.96	NA
CC1G_12503	CC1G_12504	HeadtoTail	Ccin_Chr_2	3168161	3169680	+	3169859	3171264	+	2.83	0.76	3.75
CC1G_00783	CC1G_00784	HeadtoTail	Ccin_Chr_7	1019533	1020303	+	1021040	1022193	+	1.95	0.78	2.50
CC1G_00784	CC1G_00785	HeadtoTail	Ccin_Chr_7	1021040	1022193	+	1022773	1023618	+	NA	0.44	NA
CC1G_15332	CC1G_15333	HeadtoTail	Ccin_Chr_10	1655359	1657873	+	1657955	1659432	+	2.73	1.15	2.39
CC1G_09674	CC1G_15669	HeadtoTail	Ccin_Chr_11	535559	538776	+	539687	540404	+	2.84	0.58	4.87
CC1G_15663	CC1G_15664	HeadtoTail	Ccin_Chr_11	486360	489669	+	490422	491079	+	2.43	0.56	4.35
CC1G_09246	CC1G_09245	HeadtoTail	Ccin_Chr_11	1686090	1687679	+	1687722	1693371	+	2.09	1.17	1.78
CC1G_08442	CC1G_08443	HeadtoTail	Ccin_Chr_12	589910	591385	+	591719	592492	+	1.97	0.67	2.92
CC1G_10067	CC1G_10068	HeadtoTail	Ccin_Chr_4	2754115	2756457	+	2757009	2758871	+	2.44	0.72	3.41
CC1G_05012	CC1G_15046	HeadtoTail	Ccin_Chr_8	1804461	1806253	-	1808741	1810855	-	1.19	0.16	7.52
CC1G_03980	CC1G_03981	HeadtoTail	Ccin_Chr_7	581421	582544	-	582963	583917	-	1.12	0.49	2.28
CC1G_10056	CC1G_10057	HeadtoTail	Ccin_Chr_4	2713288	2715291	-	2715824	2717701	-	NA	0.32	NA
CC1G_14777	CC1G_14778	HeadtoTail	Ccin_Chr_7	586252	587353	-	587701	589710	-	NA	0.89	NA
CC1G_14701	CC1G_14702	HeadtoTail	Ccin_Chr_5	2604002	2604802	-	2605246	2606440	-	NA	0.30	NA
CC1G_15130	CC1G_12725	HeadtoTail	Ccin_Chr_9	387866	388227	+	388248	391021	+	1.27	0.91	1.39
CC1G_05212	CC1G_05213	HeadtoTail	Ccin_Chr_11	742491	744058	-	744729	745982	-	NA	0.42	NA
CC1G_02525	CC1G_02527	HeadtoTail	Ccin_Chr_9	1050439	1052267	+	1057034	1058742	+	3.13	0.43	7.26
CC1G_04616	CC1G_04617	HeadtoTail	Ccin_Chr_3	613589	614508	-	614997	615915	-	0.72	0.25	2.93
CC1G_14111	CC1G_04633	HeadtoTail	Ccin_Chr_3	671875	672069	+	672397	673403	+	NA	0.62	NA
CC1G_04615	CC1G_04616	HeadtoTail	Ccin_Chr_3	612330	613253	-	613589	614508	-	1.68	0.53	3.19
CC1G_04881	CC1G_04882	HeadtoTail	Ccin_Chr_2	3535807	3536550	-	3536746	3537012	-	2.16	0.45	4.78
CC1G_05522	CC1G_05521	HeadtoTail	Ccin_Chr_11	1390396	1391427	+	1391741	1392749	+	NA	0.61	NA
CC1G_01953	CC1G_01954	HeadtoTail	Ccin_Chr_3	1663576	1664625	-	1664890	1665844	-	2.55	0.15	16.42
CC1G_04882	CC1G_04883	HeadtoTail	Ccin_Chr_2	3536746	3537012	-	3537927	3538629	-	1.37	0.13	10.90
CC1G_05226	CC1G_05227	HeadtoTail	Ccin_Chr_11	781864	782566	-	783087	783944	-	2.00	0.53	3.77
CC1G_13758	CC1G_13759	HeadtoTail	Ccin_Chr_1	3472099	3473405	-	3473529	3475112	-	NA	0.89	NA
CC1G_04883	CC1G_04884	HeadtoTail	Ccin_Chr_2	3537927	3538629	-	3538966	3539702	-	NA	0.45	NA
CC1G_10949	CC1G_10950	HeadtoTail	Ccin_Chr_4	1632881	1634024	-	1634295	1636331	-	1.09	0.26	4.15
CC1G_04880	CC1G_04881	HeadtoTail	Ccin_Chr_2	3533949	3534765	-	3535807	3536550	-	2.83	0.69	4.13
CC1G_11332	CC1G_11331	HeadtoTail	Ccin_Chr_11	1275763	1277375	-	1277899	1279500	-	NA	0.44	NA
CC1G_00644	CC1G_00645	HeadtoTail	Ccin_Chr_1	3457937	3459238	-	3459556	3460863	-	NA	0.37	NA
CC1G_14799	CC1G_14800	HeadtoTail	Ccin_Chr_7	886479	887329	-	888373	888845	-	3.17	1.17	2.71
CC1G_04073	CC1G_14500	HeadtoTail	Ccin_Chr_4	3277202	3277816	+	3278476	3279315	+	NA	1.29	NA
CC1G_04066	CC1G_04067	HeadtoTail	Ccin_Chr_4	3248705	3250279	-	3251035	3252612	-	0.92	0.33	2.77
CC1G_03046	CC1G_03047	HeadtoTail	Ccin_Chr_8	2124984	2125384	+	2126184	2127208	+	NA	0.45	NA
CC1G_04072	CC1G_04073	HeadtoTail	Ccin_Chr_4	3275044	3276606	+	3277202	3277816	+	0.59	0.24	2.46
CC1G_13856	CC1G_13857	HeadtoTail	Ccin_Chr_2	807253	808022	-	808239	811725	-	NA	1.24	NA
CC1G_11847	CC1G_11848	HeadtoTail	Ccin_Chr_6	114896	115302	-	115944	116356	-	0.70	0.09	7.93
CC1G_13808	CC1G_13809	HeadtoTail	Ccin_Chr_1	4117241	4119370	-	4119958	4121495	-	2.10	0.70	3.00
CC1G_08309	CC1G_08310	HeadtoTail	Ccin_Chr_2	153100	153456	+	155638	156072	+	NA	0.70	NA
CC1G_13830	CC1G_13831	HeadtoTail	Ccin_Chr_2	372685	376387	-	376676	379373	-	2.25	1.51	1.49
CC1G_05003	CC1G_05005	HeadtoTail	Ccin_Chr_8	1786497	1786949	+	1788249	1788975	+	0.38	0.08	5.00
CC1G_02810	CC1G_02811	HeadtoTail	Ccin_Chr_1	284312	285240	-	285386	286631	-	NA	0.20	NA
CC1G_09412	CC1G_09413	HeadtoTail	Ccin_Chr_10	651513	653436	+	654001	655977	+	2.53	1.17	2.16
CC1G_13787	CC1G_13788	HeadtoTail	Ccin_Chr_1	3852606	3854155	-	3854513	3855642	-	NA	1.18	NA
CC1G_05950	CC1G_05951	HeadtoTail	Ccin_Chr_7	2758553	2759161	+	2759237	2759565	+	1.98	1.09	1.82
CC1G_15168	CC1G_02529	HeadtoTail	Ccin_Chr_9	1061408	1061778	+	1063380	1063657	+	2.78	1.27	2.19
CC1G_07297	CC1G_07298	HeadtoTail	Ccin_Chr_12	1576225	1578847	-	1579753	1583904	-	1.93	0.59	3.28
CC1G_13975	CC1G_03921	HeadtoTail	Ccin_Chr_2	2571553	2572895	+	2573110	2574654	+	NA	0.23	NA
CC1G_13974	CC1G_13975	HeadtoTail	Ccin_Chr_2	2569713	2571036	+	2571553	2572895	+	0.95	0.13	7.39
CC1G_14167	CC1G_14168	HeadtoTail	Ccin_Chr_3	1418911	1420086	-	1420290	1421394	-	NA	0.88	NA
CC1G_08276	CC1G_08277	HeadtoHead	Ccin_Chr_2	51347	52818	+	53185	54601	-	1.06	0.13	8.24
CC1G_12355	CC1G_15739	HeadtoTail	Ccin_Chr_11	1664207	1665595	+	1666686	1668115	+	1.29	0.32	3.96
CC1G_12356	CC1G_12355	HeadtoTail	Ccin_Chr_11	1662382	1663702	+	1664207	1665595	+	2.16	0.22	9.74
CC1G_08066	CC1G_08067	TailtoTail	Ccin_Chr_4	3044839	3046406	-	3047968	3049520	+	1.43	0.20	7.17
CC1G_08464	CC1G_08465	HeadtoTail	Ccin_Chr_12	648397	650155	-	650518	652239	-	3.58	0.71	5.07
CC1G_08465	CC1G_08466	HeadtoTail	Ccin_Chr_12	650518	652239	-	652582	654380	-	2.40	0.65	3.71
CC1G_14262	CC1G_14263	HeadtoTail	Ccin_Chr_3	2855929	2857823	-	2857965	2859831	-	3.66	0.52	7.08
CC1G_08572	CC1G_08573	TailtoTail	Ccin_Chr_9	2030021	2030797	-	2031315	2031975	+	1.02	0.16	6.38
CC1G_00200	CC1G_00201	TailtoTail	Ccin_Chr_5	1330378	1331800	-	1332077	1333786	+	NA	0.26	NA
CC1G_04621	CC1G_04622	HeadtoTail	Ccin_Chr_3	635986	636795	-	637647	639567	-	NA	0.76	NA
CC1G_04620	CC1G_04621	HeadtoTail	Ccin_Chr_3	633784	635208	-	635986	636795	-	NA	0.68	NA
CC1G_14109	CC1G_04620	HeadtoHead	Ccin_Chr_3	631785	633252	+	633784	635208	-	3.10	0.60	5.20
CC1G_04762	CC1G_04763	HeadtoTail	Ccin_Chr_13	718405	720722	-	722077	724342	-	NA	0.30	NA
CC1G_08865	CC1G_08866	HeadtoTail	Ccin_Chr_5	2970306	2970770	-	2972024	2973701	-	4.84	1.22	3.98
CC1G_04622	CC1G_04623	TailtoTail	Ccin_Chr_3	637647	639567	-	640190	641910	+	2.66	0.69	3.84
CC1G_04460	CC1G_14123	HeadtoTail	Ccin_Chr_3	881728	883015	+	883345	883921	+	3.71	1.12	3.31
CC1G_12313	CC1G_12314	HeadtoTail	Ccin_Chr_12	558947	560781	+	561444	561945	+	1.69	1.21	1.39
CC1G_12068	CC1G_12069	HeadtoTail	Ccin_Chr_1	576035	577044	+	577627	578775	+	1.74	0.52	3.37
CC1G_12067	CC1G_12068	HeadtoTail	Ccin_Chr_1	575059	575611	+	576035	577044	+	2.87	0.45	6.42
CC1G_15399	CC1G_12308	TailtoTail	Ccin_Chr_12	544408	548882	-	549120	550948	+	NA	0.92	NA
CC1G_05917	CC1G_05918	HeadtoTail	Ccin_Chr_7	2647423	2648917	+	2650404	2652017	+	2.07	0.32	6.54
CC1G_12312	CC1G_12313	HeadtoTail	Ccin_Chr_12	557330	558595	+	558947	560781	+	2.32	0.44	5.33
CC1G_14090	CC1G_14091	HeadtoTail	Ccin_Chr_3	455384	456949	+	457035	457517	+	1.44	1.23	1.17
CC1G_11139	CC1G_11140	HeadtoTail	Ccin_Chr_3	443460	443678	-	443951	444737	-	1.56	1.22	1.28
CC1G_08003	CC1G_08004	HeadtoHead	Ccin_Chr_8	372446	373601	+	374069	375733	-	2.62	1.74	1.51
CC1G_07833	CC1G_07834	HeadtoTail	Ccin_Chr_4	1188498	1189719	+	1190383	1191126	+	NA	1.08	NA
CC1G_07824	CC1G_07825	HeadtoTail	Ccin_Chr_4	1164215	1165790	-	1165838	1167099	-	2.89	1.09	2.65
CC1G_07832	CC1G_07833	HeadtoTail	Ccin_Chr_4	1186635	1188111	+	1188498	1189719	+	NA	0.77	NA
CC1G_07935	CC1G_07936	HeadtoTail	Ccin_Chr_5	3201487	3204817	-	3205448	3211111	-	NA	0.44	NA
CC1G_15338	CC1G_15339	HeadtoTail	Ccin_Chr_10	1730088	1731773	-	1732234	1733640	-	3.66	0.60	6.06
CC1G_02151	CC1G_02153	HeadtoTail	Ccin_Chr_10	1778600	1780498	-	1781620	1784592	-	1.84	1.23	1.49
CC1G_01857	CC1G_13708	HeadtoTail	Ccin_Chr_1	2715489	2716664	+	2717108	2717809	+	NA	1.23	NA
CC1G_13681	CC1G_01687	TailtoTail	Ccin_Chr_1	2285001	2287529	-	2287745	2290256	+	NA	0.61	NA
CC1G_01383	CC1G_01384	HeadtoTail	Ccin_Chr_5	2313266	2316237	+	2317034	2318936	+	1.74	0.36	4.90
CC1G_12371	CC1G_14376	HeadtoTail	Ccin_Chr_4	1473894	1475472	+	1475741	1476858	+	1.62	0.43	3.72
CC1G_04805	CC1G_04806	HeadtoTail	Ccin_Chr_13	843931	845121	-	845669	846718	-	0.73	0.39	1.87
CC1G_11457	CC1G_11458	HeadtoTail	Ccin_Chr_6	843778	845496	-	845742	848076	-	2.29	1.39	1.64
CC1G_13754	CC1G_13755	HeadtoTail	Ccin_Chr_1	3444092	3444493	-	3444520	3445052	-	NA	1.29	NA
CC1G_12600	CC1G_12601	HeadtoTail	Ccin_Chr_12	1898914	1900271	-	1900586	1902034	-	1.15	0.41	2.83
CC1G_11464	CC1G_15561	TailtoTail	Ccin_Chr_6	860616	861172	-	861483	862191	+	NA	1.09	NA
CC1G_07521	CC1G_07522	HeadtoTail	Ccin_Chr_6	1426451	1428091	-	1428539	1430494	-	1.85	0.55	3.35
CC1G_11463	CC1G_11464	HeadtoTail	Ccin_Chr_6	858147	860193	-	860616	861172	-	0.84	0.29	2.92
CC1G_09739	CC1G_09738	HeadtoTail	Ccin_Chr_7	312470	313867	-	314062	316522	-	3.18	1.52	2.10
CC1G_12178	CC1G_12179	HeadtoTail	Ccin_Chr_10	55782	56699	+	56879	59052	+	NA	1.20	NA
CC1G_02582	CC1G_02583	HeadtoHead	Ccin_Chr_4	150376	151441	+	151488	152469	-	2.15	1.01	2.14
CC1G_15498	CC1G_15499	HeadtoTail	Ccin_Chr_6	102061	103019	+	103432	104663	+	NA	1.05	NA
CC1G_15644	CC1G_15645	HeadtoTail	Ccin_Chr_11	136382	137078	-	137929	138782	-	1.37	0.20	6.86
CC1G_15501	CC1G_15502	HeadtoTail	Ccin_Chr_6	110033	111372	+	111741	113077	+	NA	0.65	NA
CC1G_15645	CC1G_10614	TailtoTail	Ccin_Chr_11	137929	138782	-	139758	140384	+	2.01	0.74	2.71
CC1G_04111	CC1G_04112	HeadtoTail	Ccin_Chr_4	3372486	3373557	-	3373887	3375035	-	2.38	0.73	3.28
CC1G_15729	CC1G_15730	HeadtoTail	Ccin_Chr_11	1529840	1532504	+	1533145	1534424	+	NA	1.33	NA
CC1G_00558	CC1G_00559	HeadtoHead	Ccin_Chr_1	3236248	3238425	+	3238702	3240832	-	NA	0.62	NA
CC1G_00559	CC1G_00560	TailtoTail	Ccin_Chr_1	3238702	3240832	-	3241279	3243498	+	NA	0.51	NA
CC1G_08470	CC1G_08475	HeadtoTail	Ccin_Chr_12	663050	663789	-	671764	675642	-	1.87	1.06	1.76
CC1G_02514	CC1G_02515	HeadtoTail	Ccin_Chr_9	1019317	1021486	-	1022313	1024343	-	NA	0.54	NA
CC1G_02492	CC1G_02493	HeadtoHead	Ccin_Chr_9	956406	957198	+	957568	959942	-	1.62	0.74	2.19
CC1G_15505	CC1G_12938	HeadtoTail	Ccin_Chr_6	146560	148553	+	163197	164246	+	0.86	0.12	7.07
CC1G_10439	CC1G_10438	HeadtoTail	Ccin_Chr_7	396218	397445	+	398054	399322	+	0.74	0.38	1.94
CC1G_03151	CC1G_03152	TailtoTail	Ccin_Chr_8	2403184	2405056	-	2405086	2405562	+	0.29	0.24	1.19
CC1G_10438	CC1G_10437	HeadtoTail	Ccin_Chr_7	398054	399322	+	399955	402398	+	0.64	0.30	2.15
CC1G_08335	CC1G_08336	HeadtoTail	Ccin_Chr_7	2390853	2393364	+	2393675	2396667	+	3.26	0.32	10.17
CC1G_09450	CC1G_13310	HeadtoTail	Ccin_Chr_6	1745529	1747498	-	1753463	1753971	-	NA	1.03	NA
CC1G_09480	CC1G_09479	HeadtoTail	Ccin_Chr_6	1655057	1655836	-	1656878	1657394	-	0.38	0.36	1.05
CC1G_11130	CC1G_11131	HeadtoTail	Ccin_Chr_3	426323	427892	-	428214	430251	-	2.96	0.86	3.46
CC1G_09796	CC1G_09797	HeadtoTail	Ccin_Chr_12	791817	793251	-	794487	795944	-	0.56	0.09	6.17
CC1G_09815	CC1G_09816	HeadtoTail	Ccin_Chr_12	837845	839197	-	839711	841128	-	1.05	0.11	9.86
CC1G_08385	CC1G_08386	HeadtoTail	Ccin_Chr_7	2799620	2799823	-	2800214	2800579	-	NA	1.29	NA
CC1G_14916	CC1G_08385	HeadtoTail	Ccin_Chr_7	2791811	2792137	-	2799620	2799823	-	1.41	1.34	1.05
CC1G_08386	CC1G_08387	HeadtoTail	Ccin_Chr_7	2800214	2800579	-	2800862	2802183	-	0.78	0.18	4.40
CC1G_12123	CC1G_12124	HeadtoTail	Ccin_Chr_4	31749	32245	-	33183	34375	-	0.81	0.29	2.77
CC1G_07927	CC1G_07928	HeadtoTail	Ccin_Chr_5	3178344	3179144	+	3179919	3180839	+	2.30	0.36	6.32
CC1G_00444	CC1G_00445	HeadtoTail	Ccin_Chr_5	1916574	1918196	-	1919255	1920815	-	NA	1.06	NA
CC1G_14658	CC1G_00444	HeadtoTail	Ccin_Chr_5	1914887	1916042	-	1916574	1918196	-	2.56	1.37	1.87
CC1G_04964	CC1G_04965	HeadtoTail	Ccin_Chr_8	1695285	1695930	+	1696210	1696689	+	NA	0.33	NA
CC1G_15527	CC1G_15528	HeadtoTail	Ccin_Chr_6	426631	429614	-	430223	439455	-	NA	1.11	NA
CC1G_09117	CC1G_15303	HeadtoTail	Ccin_Chr_10	1114524	1115630	-	1115760	1116118	-	NA	1.03	NA
CC1G_09116	CC1G_09117	HeadtoTail	Ccin_Chr_10	1112246	1113870	-	1114524	1115630	-	1.61	0.19	8.46
CC1G_10100	CC1G_10101	HeadtoTail	Ccin_Chr_1	3800656	3802329	+	3803504	3804524	+	1.67	1.01	1.65
CC1G_02635	CC1G_02636	TailtoTail	Ccin_Chr_4	288168	289114	-	289948	291042	+	1.94	0.65	2.97
CC1G_03097	CC1G_03098	TailtoTail	Ccin_Chr_8	2251159	2251881	-	2252350	2253253	+	2.31	1.29	1.78
CC1G_00698	CC1G_00699	HeadtoTail	Ccin_Chr_1	3616185	3619967	+	3628118	3630961	+	4.30	0.85	5.03
CC1G_00699	CC1G_00700	HeadtoTail	Ccin_Chr_1	3628118	3630961	+	3633907	3636600	+	NA	0.55	NA
CC1G_02000	CC1G_02001	HeadtoTail	Ccin_Chr_3	1787298	1792926	+	1793890	1795867	+	NA	1.20	NA
CC1G_15601	CC1G_15602	HeadtoTail	Ccin_Chr_6	1510037	1511711	-	1512010	1513829	-	2.07	0.85	2.45
CC1G_15602	CC1G_15603	HeadtoTail	Ccin_Chr_6	1512010	1513829	-	1514164	1515903	-	NA	0.79	NA
CC1G_07547	CC1G_15601	HeadtoHead	Ccin_Chr_6	1507884	1510004	+	1510037	1511711	-	5.28	0.70	7.52
CC1G_07352	CC1G_14208	HeadtoTail	Ccin_Chr_3	1977184	1977653	-	1977961	1978423	-	2.04	1.31	1.56
CC1G_06395	CC1G_06396	HeadtoTail	Ccin_Chr_4	2027446	2028744	-	2029039	2031531	-	NA	1.11	NA
CC1G_14866	CC1G_14867	HeadtoTail	Ccin_Chr_7	1969149	1969863	-	1970115	1970821	-	2.62	0.75	3.49
CC1G_14867	CC1G_11576	HeadtoTail	Ccin_Chr_7	1970115	1970821	-	1971671	1972392	-	2.30	0.45	5.11
CC1G_09461	CC1G_09460	HeadtoTail	Ccin_Chr_6	1713208	1715747	+	1715988	1718201	+	1.09	0.32	3.38
CC1G_15618	CC1G_15619	HeadtoTail	Ccin_Chr_6	1771059	1773271	-	1773512	1775945	-	1.08	0.32	3.40
CC1G_06016	CC1G_06017	HeadtoTail	Ccin_Chr_3	288494	289864	-	290421	291818	-	NA	0.18	NA
CC1G_09595	CC1G_09596	HeadtoHead	Ccin_Chr_3	13669	17639	+	17679	19265	-	NA	0.24	NA
CC1G_06221	CC1G_14469	HeadtoTail	Ccin_Chr_4	2915621	2918218	+	2918448	2919997	+	5.96	0.80	7.45
CC1G_06220	CC1G_06221	HeadtoTail	Ccin_Chr_4	2912457	2914730	+	2915621	2918218	+	NA	0.97	NA
CC1G_07198	CC1G_07199	HeadtoTail	Ccin_Chr_8	1109247	1110381	-	1111159	1111519	-	NA	1.19	NA
CC1G_09139	CC1G_09140	HeadtoTail	Ccin_Chr_2	2753487	2755287	-	2755315	2755726	-	1.62	1.16	1.40
