model,Count,dS,dN,scaffold,start_position
CC1G_02108,13,2.26,0.81,Chr_10,1669375
CC1G_02109,12,2.26,0.82,Chr_10,1671300
CC1G_02110,12,2.2,0.8,Chr_10,1672590
CC1G_02111,11,2.12,0.75,Chr_10,1674791
CC1G_02112,11,2.26,0.8,Chr_10,1676494
CC1G_02113,12,2.2,0.82,Chr_10,1678678
CC1G_02114,12,2.14,0.79,Chr_10,1679795
CC1G_02116,12,2.22,0.71,Chr_10,1685765
CC1G_02118,14,2.25,0.74,Chr_10,1689823
CC1G_02119,14,2.28,0.67,Chr_10,1691631
CC1G_02121,8,2.41,0.7,Chr_10,1702690
CC1G_02124,8,2.02,0.8,Chr_10,1708100
CC1G_02125,7,2.07,0.73,Chr_10,1711140
CC1G_02126,7,2.16,0.75,Chr_10,1713312
CC1G_15338,5,2.55,0.56,Chr_10,1730091
CC1G_15339,5,2.56,0.61,Chr_10,1732237
CC1G_02141,6,2.46,0.65,Chr_10,1748968
CC1G_15342,7,2.35,0.58,Chr_10,1760919
CC1G_15343,7,2.49,0.52,Chr_10,1763373
CC1G_02147,8,2.06,0.63,Chr_10,1765703
CC1G_02148,8,2.33,0.62,Chr_10,1768398
CC1G_02150,7,2.49,0.69,Chr_10,1774745
CC1G_02151,7,2.18,0.63,Chr_10,1778931
CC1G_02153,7,2.29,0.58,Chr_10,1782028
CC1G_02155,6,1.96,0.46,Chr_10,1789316
CC1G_02161,2,1.68,0.89,Chr_10,1808913
CC1G_02166,6,1.54,0.44,Chr_10,1825770
CC1G_02171,6,1.44,0.45,Chr_10,1837084
CC1G_02173,7,1.85,0.5,Chr_10,1842105
CC1G_02174,7,1.81,0.52,Chr_10,1843813
CC1G_02175,8,1.49,0.44,Chr_10,1844779
CC1G_02178,8,1.59,0.43,Chr_10,1850758
CC1G_02181,8,1.65,0.4,Chr_10,1860806
CC1G_02182,7,1.3,0.34,Chr_10,1862274
CC1G_02185,5,1.69,0.39,Chr_10,1869091
CC1G_02189,6,1.62,0.4,Chr_10,1877180
CC1G_02194,3,2.14,0.5,Chr_10,1894768
CC1G_02195,3,1.93,0.49,Chr_10,1896868
CC1G_02198,4,1.82,0.5,Chr_10,1902135
CC1G_02205,5,2.5,0.82,Chr_10,1922534
CC1G_02207,7,2.15,0.6,Chr_10,1931052
CC1G_02210,7,1.99,0.67,Chr_10,1939180
CC1G_02211,7,2.19,0.79,Chr_10,1941293
CC1G_02212,7,2.28,0.73,Chr_10,1943311
CC1G_02216,8,2.69,0.73,Chr_10,1949964
CC1G_15350,8,2.67,0.81,Chr_10,1952474
CC1G_15351,8,2.65,0.79,Chr_10,1954230
CC1G_02226,6,2.72,0.62,Chr_10,1972612
CC1G_02227,6,2.24,0.63,Chr_10,1974367
CC1G_02230,4,2.92,0.68,Chr_10,1980648
CC1G_02236,6,2.96,0.97,Chr_10,1995685
CC1G_02238,5,2.6,0.98,Chr_10,2000981
CC1G_02241,6,2.31,0.6,Chr_10,2015683
CC1G_02242,6,2.14,0.74,Chr_10,2019847
CC1G_02243,5,2.33,0.8,Chr_10,2023019
CC1G_02245,4,2.34,0.95,Chr_10,2029276
CC1G_02247,4,2.56,1.13,Chr_10,2032505
CC1G_12208,1,1.86,0.96,Chr_10,2059233
CC1G_12214,3,1.35,0.26,Chr_10,2081075
CC1G_10848,4,1.93,0.56,Chr_10,2097870
CC1G_10849,4,1.92,0.57,Chr_10,2100286
CC1G_10853,7,2.5,0.67,Chr_10,2114825
CC1G_10854,7,2.4,0.75,Chr_10,2116732
CC1G_10858,7,2.8,0.77,Chr_10,2126458
CC1G_10860,8,2.64,0.83,Chr_10,2133132
CC1G_10861,8,2.5,0.86,Chr_10,2134961
CC1G_10862,8,2.71,0.84,Chr_10,2137354
CC1G_10864,7,2.52,0.93,Chr_10,2143368
CC1G_10866,7,2.56,0.82,Chr_10,2146906
CC1G_10870,7,2.43,0.73,Chr_10,2155545
CC1G_10874,6,1.64,0.58,Chr_10,2163962
CC1G_15359,4,1.02,0.42,Chr_10,2172601
CC1G_10880,3,0.76,0.29,Chr_10,2180951
CC1G_10881,3,0.48,0.24,Chr_10,2182518
CC1G_12691,5,1.78,0.64,Chr_10,2217226
CC1G_12452,6,1.61,0.54,Chr_10,2221998
CC1G_12454,6,1.54,0.63,Chr_10,2227661
CC1G_12455,6,1.8,0.63,Chr_10,2229851
CC1G_12458,6,1.93,0.61,Chr_10,2239533
CC1G_12459,6,1.97,0.65,Chr_10,2242132
CC1G_12460,5,1.78,0.64,Chr_10,2244072
CC1G_12027,3,1.61,0.89,Chr_11,11777
CC1G_12032,4,1.56,0.78,Chr_11,20874
CC1G_12035,4,1.44,0.58,Chr_11,26725
CC1G_12037,5,1.3,0.75,Chr_11,32409
CC1G_12040,6,1.7,0.82,Chr_11,38812
CC1G_12612,8,2.12,0.79,Chr_11,57091
CC1G_12614,7,1.99,0.84,Chr_11,59372
CC1G_12615,8,1.95,0.71,Chr_11,62398
CC1G_12616,7,1.99,0.78,Chr_11,64780
CC1G_12619,9,1.92,0.75,Chr_11,71042
CC1G_12620,9,1.82,0.71,Chr_11,72810
CC1G_12621,9,1.77,0.72,Chr_11,74183
CC1G_10590,9,2.09,0.81,Chr_11,84553
CC1G_10593,8,2.2,0.77,Chr_11,92974
CC1G_10595,9,2.07,0.65,Chr_11,95444
CC1G_10598,8,1.63,0.46,Chr_11,100092
CC1G_10600,9,1.67,0.56,Chr_11,105831
CC1G_10601,8,1.7,0.56,Chr_11,110935
CC1G_10603,9,1.6,0.5,Chr_11,118959
CC1G_10604,8,1.65,0.41,Chr_11,121732
CC1G_10605,9,1.75,0.45,Chr_11,123164
CC1G_10606,9,1.57,0.42,Chr_11,125644
CC1G_15644,10,1.63,0.51,Chr_11,136385
CC1G_15645,10,1.5,0.49,Chr_11,137932
CC1G_15646,9,1.45,0.44,Chr_11,147363
CC1G_15647,9,1.6,0.38,Chr_11,150498
CC1G_10619,8,1.66,0.42,Chr_11,153878
CC1G_10620,8,1.57,0.44,Chr_11,156020
CC1G_10621,9,1.56,0.41,Chr_11,160382
CC1G_15648,8,1.8,0.49,Chr_11,165451
CC1G_10624,7,1.83,0.5,Chr_11,173395
CC1G_11344,4,2.04,0.39,Chr_11,181561
CC1G_11345,5,1.99,0.37,Chr_11,185925
CC1G_11354,4,1.82,0.31,Chr_11,207808
CC1G_11355,4,1.77,0.37,Chr_11,209646
CC1G_11360,3,1.99,0.42,Chr_11,220355
CC1G_11365,4,1.76,0.38,Chr_11,232534
CC1G_11374,3,0.74,0.17,Chr_11,252127
CC1G_13124,2,0.96,0.27,Chr_11,263110
CC1G_13125,2,0.89,0.22,Chr_11,265999
CC1G_13086,2,2.04,0.9,Chr_11,302196
CC1G_09546,3,1.9,0.5,Chr_11,314699
CC1G_09549,3,1.99,0.5,Chr_11,324283
CC1G_09552,4,2.68,0.78,Chr_11,337752
CC1G_09559,4,2.44,0.41,Chr_11,351088
CC1G_09560,5,2.44,0.51,Chr_11,357628
CC1G_09562,5,2.39,0.53,Chr_11,363699
CC1G_09563,6,2.21,0.57,Chr_11,369622
CC1G_09568,6,1.85,0.4,Chr_11,379831
CC1G_09572,7,1.96,0.54,Chr_11,385626
CC1G_09574,7,1.65,0.45,Chr_11,391469
CC1G_09577,6,1.86,0.6,Chr_11,398207
CC1G_09579,6,1.4,0.42,Chr_11,405070
CC1G_09580,6,1.68,0.56,Chr_11,410295
CC1G_09582,5,2.01,0.63,Chr_11,413889
CC1G_09584,5,1.89,0.55,Chr_11,424104
CC1G_09642,4,1.86,0.83,Chr_11,446693
CC1G_09643,4,1.78,0.66,Chr_11,448972
CC1G_15661,3,2.2,0.65,Chr_11,457144
CC1G_09651,7,1.97,0.65,Chr_11,469882
CC1G_15662,9,1.92,0.72,Chr_11,483877
CC1G_15664,9,1.85,0.68,Chr_11,490422
CC1G_15665,10,1.89,0.66,Chr_11,491557
CC1G_09657,10,1.9,0.67,Chr_11,493030
CC1G_09658,9,1.83,0.64,Chr_11,495367
CC1G_09660,12,1.67,0.63,Chr_11,499746
CC1G_09661,13,2.02,0.69,Chr_11,502116
CC1G_15666,13,1.93,0.61,Chr_11,506358
CC1G_15667,14,2.04,0.66,Chr_11,507985
CC1G_09666,14,1.97,0.65,Chr_11,515862
CC1G_09668,13,2.04,0.66,Chr_11,520478
CC1G_09669,15,1.92,0.66,Chr_11,521916
CC1G_09670,15,1.81,0.63,Chr_11,523253
CC1G_09671,14,1.7,0.64,Chr_11,524834
CC1G_09673,14,2.03,0.74,Chr_11,532211
CC1G_09674,14,2.22,0.81,Chr_11,535559
CC1G_15669,14,2.25,0.82,Chr_11,539687
CC1G_15670,13,2.29,0.81,Chr_11,540898
CC1G_09676,13,2.3,0.79,Chr_11,543706
CC1G_09677,12,2.43,0.84,Chr_11,545654
CC1G_09678,12,2.45,0.84,Chr_11,546805
CC1G_15671,10,2.33,0.85,Chr_11,551428
CC1G_09683,11,2.13,0.86,Chr_11,556568
CC1G_09684,11,2.12,0.86,Chr_11,559934
CC1G_12589,7,2.6,1.09,Chr_11,574022
CC1G_12590,7,2.58,1.08,Chr_11,578592
CC1G_12592,7,2.43,1.11,Chr_11,584211
CC1G_12594,6,2.26,0.98,Chr_11,588739
CC1G_12597,10,1.76,0.74,Chr_11,598952
CC1G_12913,9,1.8,0.7,Chr_11,599927
CC1G_12917,9,1.7,0.69,Chr_11,607885
CC1G_12920,11,2,0.74,Chr_11,617888
CC1G_12884,11,1.98,0.73,Chr_11,620528
CC1G_12885,11,1.85,0.67,Chr_11,622057
CC1G_12886,11,1.73,0.69,Chr_11,623397
CC1G_12891,10,1.7,0.59,Chr_11,631550
CC1G_12892,9,1.55,0.56,Chr_11,634712
CC1G_12893,9,1.56,0.55,Chr_11,638051
CC1G_12894,9,1.49,0.56,Chr_11,639806
CC1G_15679,9,1.66,0.59,Chr_11,640536
CC1G_10960,5,1.89,0.71,Chr_11,649776
CC1G_10968,4,2.82,0.66,Chr_11,677001
CC1G_10972,5,2.17,0.65,Chr_11,690111
CC1G_10973,5,2.67,0.73,Chr_11,692280
CC1G_15683,5,2.51,0.78,Chr_11,692963
CC1G_10976,6,2.5,0.69,Chr_11,700833
CC1G_10977,5,2.71,0.71,Chr_11,702997
CC1G_10981,4,2.09,0.61,Chr_11,720805
CC1G_10984,4,2.29,0.66,Chr_11,729330
CC1G_05210,5,2.19,0.46,Chr_11,738295
CC1G_05214,6,1.98,0.46,Chr_11,747088
CC1G_05216,8,2.23,0.64,Chr_11,753319
CC1G_05218,8,2.13,0.68,Chr_11,758804
CC1G_05220,9,2.24,0.73,Chr_11,763954
CC1G_05221,9,2.25,0.64,Chr_11,766574
CC1G_05223,8,2.11,0.68,Chr_11,774786
CC1G_05224,8,2.1,0.62,Chr_11,778135
CC1G_05227,8,2.27,0.8,Chr_11,783090
CC1G_05229,7,2.19,0.82,Chr_11,786077
CC1G_05230,7,2.12,0.81,Chr_11,787819
CC1G_05232,4,2.39,0.85,Chr_11,803984
CC1G_05235,2,2.48,0.92,Chr_11,813114
CC1G_05244,5,1.78,0.55,Chr_11,837134
CC1G_05246,4,1.65,0.48,Chr_11,841222
CC1G_05249,4,1.78,0.57,Chr_11,849413
CC1G_05253,4,2.02,0.62,Chr_11,859763
CC1G_05254,4,1.66,0.52,Chr_11,861598
CC1G_15691,2,1.68,0.72,Chr_11,908052
CC1G_05269,2,1.73,0.7,Chr_11,909124
CC1G_05270,2,1.82,0.64,Chr_11,910120
CC1G_15696,3,1.98,0.66,Chr_11,941199
CC1G_05281,4,2.35,0.87,Chr_11,947005
CC1G_05282,4,2.25,0.7,Chr_11,948922
CC1G_05285,4,2.37,0.82,Chr_11,956483
CC1G_05291,6,1.82,0.57,Chr_11,968887
CC1G_05297,3,2,0.48,Chr_11,981724
CC1G_05298,3,1.98,0.62,Chr_11,983290
CC1G_05299,3,1.89,0.66,Chr_11,984981
CC1G_15701,2,0.92,0.61,Chr_11,1020768
CC1G_05314,2,2.95,0.88,Chr_11,1026195
CC1G_05316,2,2.14,0.29,Chr_11,1028872
CC1G_11612,2,1.76,0.88,Chr_11,1103786
CC1G_11618,2,3.04,0.82,Chr_11,1120645
CC1G_11619,3,1.64,0.46,Chr_11,1123007
CC1G_11629,1,2.57,1.12,Chr_11,1147103
CC1G_10894,5,2.15,0.74,Chr_11,1203433
CC1G_10893,5,2.05,0.78,Chr_11,1205962
CC1G_10892,6,1.63,0.5,Chr_11,1208944
CC1G_10891,6,2.02,0.65,Chr_11,1211075
CC1G_10888,7,1.72,0.68,Chr_11,1217476
CC1G_15714,8,1.87,0.72,Chr_11,1228199
CC1G_15716,7,2.09,1.02,Chr_11,1231391
CC1G_11342,7,1.84,0.84,Chr_11,1242257
CC1G_11339,7,1.57,0.75,Chr_11,1252385
CC1G_11338,7,1.26,0.59,Chr_11,1255976
CC1G_11337,6,1.61,0.75,Chr_11,1260135
CC1G_11335,7,1.64,0.86,Chr_11,1266591
CC1G_11334,6,1.84,0.89,Chr_11,1268470
CC1G_11330,7,1.98,0.78,Chr_11,1279999
CC1G_11325,5,1.5,0.38,Chr_11,1289692
CC1G_11323,3,1.89,0.66,Chr_11,1296303
CC1G_11322,3,1.33,0.52,Chr_11,1297668
CC1G_05526,3,1.96,0.59,Chr_11,1381119
CC1G_05524,4,1.68,0.5,Chr_11,1384833
CC1G_05520,5,1.91,0.66,Chr_11,1395106
CC1G_05518,6,1.85,0.47,Chr_11,1401940
CC1G_05516,6,2.62,0.67,Chr_11,1408451
CC1G_05512,5,2.38,0.53,Chr_11,1419756
CC1G_05510,6,2.47,0.79,Chr_11,1426857
CC1G_05508,6,1.65,0.6,Chr_11,1432331
CC1G_05506,8,3.02,0.64,Chr_11,1446956
CC1G_05505,8,2.94,0.63,Chr_11,1448379
CC1G_05504,8,3.1,0.76,Chr_11,1453284
CC1G_05502,7,2.52,0.73,Chr_11,1459090
CC1G_05500,9,2.5,0.72,Chr_11,1465011
CC1G_05499,9,2.3,0.72,Chr_11,1467204
CC1G_05498,9,2.57,0.72,Chr_11,1471157
CC1G_05497,7,2.78,0.62,Chr_11,1474590
CC1G_05494,7,2.11,0.5,Chr_11,1484496
CC1G_05493,7,2.11,0.54,Chr_11,1487362
CC1G_05486,5,1.91,0.72,Chr_11,1501772
CC1G_15727,5,1.92,0.71,Chr_11,1503904
CC1G_05480,7,0.96,0.39,Chr_11,1520465
CC1G_05479,8,1.32,0.49,Chr_11,1524111
CC1G_15729,6,1.95,0.8,Chr_11,1529840
CC1G_15731,6,1.55,0.68,Chr_11,1534930
CC1G_05473,7,1.86,0.73,Chr_11,1539036
CC1G_05472,7,1.93,0.72,Chr_11,1543445
CC1G_05469,7,1.56,0.56,Chr_11,1548009
CC1G_15732,6,1.38,0.53,Chr_11,1561085
CC1G_15734,7,1.92,0.68,Chr_11,1571574
CC1G_05461,6,2.01,0.65,Chr_11,1574858
CC1G_05458,9,1.99,0.75,Chr_11,1585260
CC1G_05457,8,1.77,0.74,Chr_11,1587364
CC1G_05456,8,1.88,0.63,Chr_11,1589835
CC1G_15735,8,1.54,0.63,Chr_11,1591121
CC1G_05452,6,1.91,0.68,Chr_11,1600634
CC1G_05451,6,1.88,0.71,Chr_11,1605522
CC1G_05450,7,2.16,0.74,Chr_11,1609483
CC1G_12367,4,1.7,0.69,Chr_11,1634213
CC1G_12363,6,1.9,0.53,Chr_11,1645147
CC1G_12362,6,1.74,0.54,Chr_11,1645913
CC1G_12361,7,1.9,0.59,Chr_11,1650449
CC1G_12356,9,1.43,0.58,Chr_11,1662382
CC1G_12355,9,1.43,0.6,Chr_11,1664207
CC1G_15739,9,1.48,0.59,Chr_11,1666686
CC1G_09252,8,1.38,0.58,Chr_11,1673626
CC1G_09249,9,1.63,0.7,Chr_11,1680108
CC1G_09248,10,1.52,0.57,Chr_11,1683067
CC1G_09246,11,1.42,0.51,Chr_11,1686090
CC1G_09243,8,1.41,0.59,Chr_11,1697521
CC1G_09242,7,1.36,0.55,Chr_11,1700679
CC1G_09241,7,1.5,0.69,Chr_11,1704181
CC1G_09240,6,1.69,0.81,Chr_11,1707106
CC1G_09238,5,1.79,0.8,Chr_11,1709758
CC1G_09225,1,1.47,0.44,Chr_11,1741869
CC1G_09223,2,1.62,0.62,Chr_11,1745788
CC1G_09217,7,1.35,0.44,Chr_11,1767581
CC1G_09214,8,1.46,0.51,Chr_11,1772669
CC1G_09212,9,1.5,0.49,Chr_11,1777418
CC1G_09209,10,1.34,0.46,Chr_11,1784492
CC1G_09208,10,1.56,0.54,Chr_11,1785858
CC1G_09207,10,1.58,0.54,Chr_11,1788922
CC1G_09205,11,1.56,0.49,Chr_11,1792036
CC1G_09204,10,1.46,0.49,Chr_11,1793450
CC1G_09203,11,1.74,0.53,Chr_11,1796238
CC1G_09201,12,1.86,0.54,Chr_11,1801927
CC1G_09200,11,1.97,0.55,Chr_11,1804880
CC1G_08983,9,1.96,0.57,Chr_11,1816977
CC1G_08982,8,1.83,0.45,Chr_11,1819118
CC1G_08980,9,1.84,0.56,Chr_11,1823524
CC1G_08979,9,1.84,0.54,Chr_11,1826446
CC1G_08977,9,2.23,0.59,Chr_11,1835603
CC1G_08975,10,2,0.63,Chr_11,1843034
CC1G_15744,10,1.88,0.59,Chr_11,1845739
CC1G_15745,10,1.82,0.54,Chr_11,1847522
CC1G_15748,8,1.62,0.62,Chr_11,1853552
CC1G_08971,8,1.52,0.61,Chr_11,1855598
CC1G_08969,8,1.79,0.65,Chr_11,1863482
CC1G_08968,8,1.84,0.59,Chr_11,1866143
CC1G_08967,7,1.89,0.66,Chr_11,1868872
CC1G_08962,7,2.46,0.78,Chr_11,1881620
CC1G_08956,5,2.64,0.66,Chr_11,1894486
CC1G_08955,5,3.01,0.63,Chr_11,1896820
CC1G_08952,5,2.61,0.55,Chr_11,1901594
CC1G_08951,6,2.68,0.54,Chr_11,1904380
CC1G_08950,6,2.52,0.65,Chr_11,1907561
CC1G_08942,4,1.89,0.87,Chr_11,1928388
CC1G_08940,3,1.59,0.71,Chr_11,1930353
CC1G_08934,2,1.4,0.46,Chr_11,1942872
CC1G_15367,1,0,0,Chr_12,5686
CC1G_10467,4,2.28,0.67,Chr_12,21706
CC1G_10470,6,1.7,0.44,Chr_12,30883
CC1G_10471,7,1.65,0.43,Chr_12,33166
CC1G_10472,8,1.53,0.35,Chr_12,35906
CC1G_10474,11,1.62,0.46,Chr_12,48475
CC1G_10475,11,1.74,0.5,Chr_12,49836
CC1G_10476,11,1.57,0.5,Chr_12,52655
CC1G_10479,10,1.56,0.49,Chr_12,57769
CC1G_10480,10,1.47,0.47,Chr_12,60054
CC1G_15369,9,1.25,0.39,Chr_12,62387
CC1G_10483,9,1.3,0.36,Chr_12,64342
CC1G_10484,10,1.33,0.45,Chr_12,66429
CC1G_15370,11,1.35,0.48,Chr_12,67692
CC1G_10491,15,1.55,0.7,Chr_12,82943
CC1G_10494,12,1.63,0.69,Chr_12,90207
CC1G_10495,11,1.7,0.73,Chr_12,92242
CC1G_10496,10,1.74,0.78,Chr_12,93744
CC1G_10497,11,1.79,0.75,Chr_12,95671
CC1G_10498,11,1.64,0.74,Chr_12,97263
CC1G_10499,11,1.85,0.62,Chr_12,101061
CC1G_10500,13,1.82,0.71,Chr_12,103265
CC1G_15374,14,1.85,0.71,Chr_12,105526
CC1G_15375,15,1.89,0.69,Chr_12,106315
CC1G_10502,15,1.85,0.67,Chr_12,107687
CC1G_05769,16,1.89,0.72,Chr_12,120055
CC1G_05771,14,1.84,0.63,Chr_12,126144
CC1G_05772,14,1.84,0.6,Chr_12,127727
CC1G_05773,13,1.87,0.6,Chr_12,129681
CC1G_05774,12,1.83,0.62,Chr_12,131100
CC1G_05775,10,2.04,0.56,Chr_12,134570
CC1G_05776,12,2.05,0.6,Chr_12,138358
CC1G_05777,12,1.75,0.49,Chr_12,140759
CC1G_05778,12,1.95,0.6,Chr_12,143066
CC1G_05779,12,1.9,0.57,Chr_12,144492
CC1G_05781,12,1.93,0.6,Chr_12,148912
CC1G_05785,10,1.93,0.49,Chr_12,160580
CC1G_05786,11,1.89,0.5,Chr_12,161586
CC1G_05788,8,1.83,0.55,Chr_12,170401
CC1G_05789,7,2,0.58,Chr_12,174333
CC1G_05791,8,2.1,0.58,Chr_12,179975
CC1G_05793,8,1.83,0.56,Chr_12,182633
CC1G_05794,8,1.83,0.48,Chr_12,186178
CC1G_05795,7,1.78,0.37,Chr_12,187901
CC1G_05798,7,1.45,0.54,Chr_12,199533
CC1G_05802,7,1.75,0.61,Chr_12,210852
CC1G_05804,6,1.48,0.34,Chr_12,216005
CC1G_15379,7,1.76,0.45,Chr_12,223728
CC1G_05807,6,1.64,0.39,Chr_12,225295
CC1G_05809,6,1.25,0.4,Chr_12,228050
CC1G_05812,5,1.6,0.43,Chr_12,238125
CC1G_15381,5,1.49,0.4,Chr_12,248087
CC1G_05824,3,1.3,0.3,Chr_12,269590
CC1G_05827,2,0.9,0.42,Chr_12,277044
CC1G_05828,2,1.34,0.67,Chr_12,280584
CC1G_05838,5,1.03,0.31,Chr_12,307681
CC1G_05841,9,1.51,0.52,Chr_12,316021
CC1G_15384,10,1.61,0.56,Chr_12,318697
CC1G_05844,10,1.52,0.55,Chr_12,325139
CC1G_15385,10,1.63,0.54,Chr_12,329875
CC1G_05846,10,1.56,0.57,Chr_12,330684
CC1G_05847,10,1.46,0.54,Chr_12,332724
CC1G_05848,10,1.42,0.52,Chr_12,335495
CC1G_05849,11,1.47,0.46,Chr_12,337349
CC1G_05850,11,1.31,0.44,Chr_12,339937
CC1G_15386,11,1.47,0.55,Chr_12,342632
CC1G_05857,8,1.91,0.77,Chr_12,357164
CC1G_05859,6,1.88,0.84,Chr_12,361121
CC1G_05861,5,1.63,0.48,Chr_12,366454
CC1G_05863,4,1.46,0.48,Chr_12,369152
CC1G_05868,3,2.18,0.8,Chr_12,387800
CC1G_15390,1,1.68,0.25,Chr_12,396916
CC1G_11243,2,2.18,0.74,Chr_12,430706
CC1G_11247,3,2.28,0.84,Chr_12,445990
CC1G_11248,3,2.41,0.85,Chr_12,454766
CC1G_11250,3,2.35,0.74,Chr_12,465118
CC1G_11255,4,2.3,0.85,Chr_12,482234
CC1G_12383,4,1.9,0.52,Chr_12,497891
CC1G_12386,4,1.8,0.65,Chr_12,504555
CC1G_12387,4,2.16,0.7,Chr_12,507116
CC1G_12388,3,1.88,0.68,Chr_12,512224
CC1G_12305,6,2.13,0.6,Chr_12,541010
CC1G_15399,6,2.31,0.52,Chr_12,544411
CC1G_12308,6,2.4,0.6,Chr_12,549120
CC1G_15401,6,2.19,0.6,Chr_12,553745
CC1G_12311,6,2.47,0.6,Chr_12,555752
CC1G_12313,7,2.71,0.61,Chr_12,558947
CC1G_12314,8,2.66,0.62,Chr_12,561444
CC1G_08439,6,1.63,0.6,Chr_12,582721
CC1G_08440,5,2.09,0.54,Chr_12,584714
CC1G_08443,4,2.18,0.57,Chr_12,591719
CC1G_08451,6,2.11,0.59,Chr_12,604494
CC1G_15404,6,2.46,0.68,Chr_12,606414
CC1G_08455,4,1.97,0.53,Chr_12,618254
CC1G_08457,5,1.8,0.57,Chr_12,624734
CC1G_08462,5,2.32,0.6,Chr_12,638924
CC1G_08464,5,2.48,0.78,Chr_12,648400
CC1G_08465,4,2.56,0.84,Chr_12,650521
CC1G_08466,5,1.93,0.67,Chr_12,652585
CC1G_08475,6,2.01,0.45,Chr_12,671767
CC1G_08476,5,2.73,0.68,Chr_12,675902
CC1G_08481,5,2.13,0.7,Chr_12,685887
CC1G_08482,6,2.1,0.56,Chr_12,688649
CC1G_08484,6,1.68,0.42,Chr_12,697552
CC1G_08487,5,2.57,0.47,Chr_12,705368
CC1G_08490,5,2.63,0.78,Chr_12,711680
CC1G_08492,4,2.81,0.78,Chr_12,717005
CC1G_13400,4,2.23,0.56,Chr_12,736459
CC1G_09783,6,2.67,0.62,Chr_12,750168
CC1G_09785,6,2.8,0.67,Chr_12,755423
CC1G_15413,5,2.83,0.63,Chr_12,762619
CC1G_15414,5,2.71,0.62,Chr_12,765300
CC1G_09789,6,2.15,0.53,Chr_12,769423
CC1G_09790,6,2.42,0.54,Chr_12,772837
CC1G_09796,7,2.34,0.79,Chr_12,791820
CC1G_09802,6,1.66,0.66,Chr_12,803997
CC1G_09803,7,1.83,0.76,Chr_12,807816
CC1G_09804,8,1.71,0.66,Chr_12,811408
CC1G_09805,9,1.63,0.57,Chr_12,813213
CC1G_09806,9,1.5,0.5,Chr_12,816047
CC1G_09810,9,1.99,0.79,Chr_12,828698
CC1G_09811,8,1.97,0.72,Chr_12,830579
CC1G_09813,7,2,0.81,Chr_12,834440
CC1G_09815,7,2.23,0.9,Chr_12,837848
CC1G_09817,6,1.71,0.62,Chr_12,841472
CC1G_13080,6,1.82,0.91,Chr_12,862090
CC1G_13082,5,2.02,1.02,Chr_12,866047
CC1G_13083,4,1.82,1.05,Chr_12,869220
CC1G_10774,5,2.21,1.05,Chr_12,871066
CC1G_10778,9,2.17,0.7,Chr_12,886970
CC1G_15416,6,2.25,0.73,Chr_12,895437
CC1G_10784,6,2.58,0.9,Chr_12,900304
CC1G_10785,6,2.38,0.82,Chr_12,904496
CC1G_10787,7,2.62,0.82,Chr_12,908931
CC1G_10788,7,2.29,0.83,Chr_12,909835
CC1G_10794,7,2.26,0.61,Chr_12,923697
CC1G_10797,5,2.07,0.74,Chr_12,930182
CC1G_10799,3,2.52,1.04,Chr_12,935171
CC1G_10802,3,1.7,0.67,Chr_12,943194
CC1G_11587,3,3.67,0.57,Chr_12,973142
CC1G_11588,3,4,0.55,Chr_12,976468
CC1G_11590,3,4.14,0.68,Chr_12,980278
CC1G_11592,3,4.71,0.83,Chr_12,986657
CC1G_11599,4,1.26,0.38,Chr_12,1017377
CC1G_11467,6,0.87,0.19,Chr_12,1031680
CC1G_15419,6,1.08,0.33,Chr_12,1033311
CC1G_15420,6,0.72,0.28,Chr_12,1034241
CC1G_11471,7,1.27,0.41,Chr_12,1041591
CC1G_11472,7,1.45,0.42,Chr_12,1044588
CC1G_11473,7,1.35,0.38,Chr_12,1047183
CC1G_15424,5,1.3,0.23,Chr_12,1063492
CC1G_11477,5,1.61,0.53,Chr_12,1068271
CC1G_11482,3,1.78,0.62,Chr_12,1075353
CC1G_11489,3,2.44,0.34,Chr_12,1089848
CC1G_13353,2,1.14,0.46,Chr_12,1110043
CC1G_12528,4,1.97,0.36,Chr_12,1132944
CC1G_15427,3,2.04,0.31,Chr_12,1140931
CC1G_09901,4,1.64,0.3,Chr_12,1149867
CC1G_09902,4,1.18,0.27,Chr_12,1155845
CC1G_15429,3,2.5,0.59,Chr_12,1173288
CC1G_09912,3,2.39,0.79,Chr_12,1196482
CC1G_09914,2,2.75,1.18,Chr_12,1201226
CC1G_09916,3,2.28,0.9,Chr_12,1213747
CC1G_09922,2,1.74,0.8,Chr_12,1233718
CC1G_09930,3,2.26,0.72,Chr_12,1254896
CC1G_06451,3,1.62,0.35,Chr_12,1270597
CC1G_06452,5,1.29,0.39,Chr_12,1277578
CC1G_06455,4,1.71,0.53,Chr_12,1288651
CC1G_06457,3,1.61,0.36,Chr_12,1296017
CC1G_06459,4,2.55,0.6,Chr_12,1299922
CC1G_06469,3,1.15,0.34,Chr_12,1321794
CC1G_06476,4,1.87,0.42,Chr_12,1339899
CC1G_06477,4,2.46,0.46,Chr_12,1342743
CC1G_06484,5,2,0.51,Chr_12,1357054
CC1G_06487,5,1.64,0.54,Chr_12,1361507
CC1G_06492,4,1.81,0.46,Chr_12,1369112
CC1G_15439,5,1.7,0.54,Chr_12,1371254
CC1G_06498,3,2.12,0.77,Chr_12,1387561
