model1	model2	ds	dn	dsdn
Ccin:CC1G_14027T0	Ccin:CC1G_12886T0	0.04	0.01	2.87
Ccin:CC1G_14022T0	Ccin:CC1G_13153T0	NA	1.29	NA
Ccin:CC1G_15794T0	Ccin:CC1G_07844T0	NA	0.89	NA
Ccin:CC1G_14781T0	Ccin:CC1G_13153T0	NA	1.03	NA
Ccin:CC1G_14026T0	Ccin:CC1G_13153T0	NA	0.57	NA
Ccin:CC1G_13610T0	Ccin:CC1G_07844T0	NA	1.24	NA
Ccin:CC1G_10132T0	Ccin:CC1G_13153T0	NA	1.12	NA
Ccin:CC1G_14740T0	Ccin:CC1G_07844T0	NA	0.70	NA
Ccin:CC1G_12550T0	Ccin:CC1G_13153T0	NA	0.97	NA
Ccin:CC1G_04779T0	Ccin:CC1G_07844T0	NA	0.61	NA
Ccin:CC1G_15495T0	Ccin:CC1G_13153T0	NA	0.99	NA
Ccin:CC1G_14027T0	Ccin:CC1G_13153T0	2.39	0.42	5.74
Ccin:CC1G_04793T0	Ccin:CC1G_07844T0	2.16	0.92	2.34
Ccin:CC1G_12886T0	Ccin:CC1G_13153T0	2.94	0.51	5.79
Ccin:CC1G_04770T0	Ccin:CC1G_07844T0	NA	0.81	NA
Ccin:CC1G_11250T0	Ccin:CC1G_11010T0	NA	1.12	NA
Ccin:CC1G_11250T0	Ccin:CC1G_09295T0	NA	1.26	NA
Ccin:CC1G_15794T0	Ccin:CC1G_02708T0	1.98	0.96	2.07
Ccin:CC1G_11010T0	Ccin:CC1G_09295T0	NA	0.44	NA
Ccin:CC1G_13610T0	Ccin:CC1G_02708T0	NA	1.19	NA
Ccin:CC1G_11250T0	Ccin:CC1G_04920T0	4.16	1.48	2.82
Ccin:CC1G_14740T0	Ccin:CC1G_02708T0	3.17	1.55	2.04
Ccin:CC1G_11010T0	Ccin:CC1G_04920T0	NA	1.11	NA
Ccin:CC1G_04779T0	Ccin:CC1G_02708T0	2.88	1.78	1.62
Ccin:CC1G_09295T0	Ccin:CC1G_04920T0	3.15	1.08	2.91
Ccin:CC1G_04793T0	Ccin:CC1G_02708T0	5.57	0.94	5.93
Ccin:CC1G_11250T0	Ccin:CC1G_03145T0	NA	1.36	NA
Ccin:CC1G_04770T0	Ccin:CC1G_02708T0	3.10	1.49	2.08
Ccin:CC1G_11010T0	Ccin:CC1G_03145T0	1.98	1.07	1.85
Ccin:CC1G_09295T0	Ccin:CC1G_03145T0	1.92	1.10	1.75
Ccin:CC1G_07844T0	Ccin:CC1G_02708T0	NA	1.11	NA
Ccin:CC1G_04920T0	Ccin:CC1G_03145T0	NA	1.14	NA
Ccin:CC1G_15794T0	Ccin:CC1G_05403T0	1.67	1.05	1.58
Ccin:CC1G_00037T0	Ccin:CC1G_03682T0	NA	1.35	NA
Ccin:CC1G_13610T0	Ccin:CC1G_05403T0	NA	1.19	NA
Ccin:CC1G_00576T0	Ccin:CC1G_03682T0	1.86	0.70	2.67
Ccin:CC1G_14740T0	Ccin:CC1G_05403T0	NA	1.57	NA
Ccin:CC1G_00037T0	Ccin:CC1G_07230T0	2.58	1.09	2.37
Ccin:CC1G_04779T0	Ccin:CC1G_05403T0	3.08	1.63	1.89
Ccin:CC1G_00576T0	Ccin:CC1G_07230T0	1.84	0.85	2.17
Ccin:CC1G_03145T0	Ccin:CC1G_12125T0	2.72	1.22	2.24
Ccin:CC1G_04793T0	Ccin:CC1G_05403T0	2.56	1.02	2.53
Ccin:CC1G_11250T0	Ccin:CC1G_03156T0	3.55	1.37	2.59
Ccin:CC1G_04770T0	Ccin:CC1G_05403T0	2.36	1.45	1.63
Ccin:CC1G_11010T0	Ccin:CC1G_03156T0	2.85	1.23	2.32
Ccin:CC1G_07844T0	Ccin:CC1G_05403T0	NA	0.96	NA
Ccin:CC1G_09295T0	Ccin:CC1G_03156T0	3.48	1.05	3.33
Ccin:CC1G_04920T0	Ccin:CC1G_03156T0	NA	1.06	NA
Ccin:CC1G_02708T0	Ccin:CC1G_05403T0	3.07	0.69	4.46
Ccin:CC1G_03145T0	Ccin:CC1G_03156T0	1.86	0.95	1.96
Ccin:CC1G_15794T0	Ccin:CC1G_15784T0	NA	0.94	NA
Ccin:CC1G_12125T0	Ccin:CC1G_03156T0	2.32	1.11	2.09
Ccin:CC1G_13610T0	Ccin:CC1G_15784T0	1.65	1.09	1.51
Ccin:CC1G_11250T0	Ccin:CC1G_08966T0	NA	1.36	NA
Ccin:CC1G_11010T0	Ccin:CC1G_08966T0	3.77	0.98	3.83
Ccin:CC1G_14740T0	Ccin:CC1G_15784T0	NA	0.79	NA
Ccin:CC1G_07171T0	Ccin:CC1G_01609T0	NA	0.96	NA
Ccin:CC1G_04779T0	Ccin:CC1G_15784T0	NA	0.73	NA
Ccin:CC1G_01618T0	Ccin:CC1G_01609T0	NA	0.15	NA
Ccin:CC1G_04793T0	Ccin:CC1G_15784T0	NA	1.24	NA
Ccin:CC1G_02530T0	Ccin:CC1G_02443T0	3.88	0.93	4.16
Ccin:CC1G_04770T0	Ccin:CC1G_15784T0	NA	0.71	NA
Ccin:CC1G_12125T0	Ccin:CC1G_08966T0	2.93	0.93	3.15
Ccin:CC1G_03156T0	Ccin:CC1G_08966T0	NA	1.19	NA
Ccin:CC1G_07844T0	Ccin:CC1G_15784T0	NA	0.56	NA
Ccin:CC1G_07718T0	Ccin:CC1G_02196T0	NA	0.94	NA
Ccin:CC1G_02708T0	Ccin:CC1G_15784T0	2.45	1.52	1.61
Ccin:CC1G_00854T0	Ccin:CC1G_07722T0	2.52	0.69	3.64
Ccin:CC1G_05403T0	Ccin:CC1G_15784T0	3.07	1.35	2.28
Ccin:CC1G_00854T0	Ccin:CC1G_00399T0	NA	0.61	NA
Ccin:CC1G_15794T0	Ccin:CC1G_04811T0	NA	1.01	NA
Ccin:CC1G_07722T0	Ccin:CC1G_00399T0	2.04	0.66	3.10
Ccin:CC1G_13610T0	Ccin:CC1G_04811T0	4.01	1.22	3.28
Ccin:CC1G_08098T0	Ccin:CC1G_07529T0	2.65	1.20	2.21
Ccin:CC1G_11422T0	Ccin:CC1G_02121T0	NA	1.37	NA
Ccin:CC1G_14740T0	Ccin:CC1G_04811T0	NA	0.76	NA
Ccin:CC1G_11422T0	Ccin:CC1G_13332T0	1.86	0.79	2.35
Ccin:CC1G_04779T0	Ccin:CC1G_04811T0	NA	0.58	NA
Ccin:CC1G_02121T0	Ccin:CC1G_13332T0	1.76	1.31	1.34
Ccin:CC1G_04793T0	Ccin:CC1G_04811T0	2.99	1.71	1.75
Ccin:CC1G_11422T0	Ccin:CC1G_11425T0	4.05	0.97	4.15
Ccin:CC1G_04770T0	Ccin:CC1G_04811T0	NA	0.57	NA
Ccin:CC1G_02121T0	Ccin:CC1G_11425T0	3.39	1.13	2.99
Ccin:CC1G_07844T0	Ccin:CC1G_04811T0	NA	0.60	NA
Ccin:CC1G_13332T0	Ccin:CC1G_11425T0	1.37	0.60	2.28
Ccin:CC1G_02708T0	Ccin:CC1G_04811T0	NA	1.53	NA
Ccin:CC1G_11422T0	Ccin:CC1G_11424T0	2.05	0.67	3.08
Ccin:CC1G_05403T0	Ccin:CC1G_04811T0	1.88	1.76	1.07
Ccin:CC1G_02121T0	Ccin:CC1G_11424T0	1.66	1.18	1.41
Ccin:CC1G_15784T0	Ccin:CC1G_04811T0	NA	0.55	NA
Ccin:CC1G_13332T0	Ccin:CC1G_11424T0	1.51	0.52	2.90
Ccin:CC1G_15794T0	Ccin:CC1G_05419T0	NA	0.88	NA
Ccin:CC1G_11425T0	Ccin:CC1G_11424T0	0.59	0.31	1.93
Ccin:CC1G_13610T0	Ccin:CC1G_05419T0	NA	1.53	NA
Ccin:CC1G_11422T0	Ccin:CC1G_13806T0	2.46	1.41	1.74
Ccin:CC1G_02121T0	Ccin:CC1G_13806T0	2.02	1.29	1.57
Ccin:CC1G_14740T0	Ccin:CC1G_05419T0	2.67	1.38	1.94
Ccin:CC1G_13332T0	Ccin:CC1G_13806T0	2.01	1.43	1.41
Ccin:CC1G_04779T0	Ccin:CC1G_05419T0	NA	1.58	NA
Ccin:CC1G_11425T0	Ccin:CC1G_13806T0	1.25	0.40	3.12
Ccin:CC1G_04793T0	Ccin:CC1G_05419T0	3.81	1.04	3.66
Ccin:CC1G_11424T0	Ccin:CC1G_13806T0	1.28	0.39	3.28
Ccin:CC1G_04770T0	Ccin:CC1G_05419T0	3.61	1.58	2.28
Ccin:CC1G_11422T0	Ccin:CC1G_02116T0	1.99	1.01	1.97
Ccin:CC1G_02121T0	Ccin:CC1G_02116T0	NA	1.02	NA
Ccin:CC1G_07844T0	Ccin:CC1G_05419T0	NA	1.61	NA
Ccin:CC1G_13332T0	Ccin:CC1G_02116T0	2.23	1.33	1.68
Ccin:CC1G_02708T0	Ccin:CC1G_05419T0	NA	0.69	NA
Ccin:CC1G_11425T0	Ccin:CC1G_02116T0	NA	1.59	NA
Ccin:CC1G_05403T0	Ccin:CC1G_05419T0	2.57	0.47	5.44
Ccin:CC1G_11424T0	Ccin:CC1G_02116T0	2.60	1.27	2.05
Ccin:CC1G_13806T0	Ccin:CC1G_02116T0	1.81	1.16	1.56
Ccin:CC1G_15784T0	Ccin:CC1G_05419T0	4.54	1.30	3.50
Ccin:CC1G_11422T0	Ccin:CC1G_11413T0	NA	0.84	NA
Ccin:CC1G_04811T0	Ccin:CC1G_05419T0	NA	1.76	NA
Ccin:CC1G_02121T0	Ccin:CC1G_11413T0	1.84	1.17	1.57
Ccin:CC1G_15794T0	Ccin:CC1G_05416T0	2.53	0.87	2.89
Ccin:CC1G_13332T0	Ccin:CC1G_11413T0	1.45	0.53	2.75
Ccin:CC1G_13610T0	Ccin:CC1G_05416T0	2.08	1.25	1.66
Ccin:CC1G_11425T0	Ccin:CC1G_11413T0	0.44	0.22	2.02
Ccin:CC1G_14740T0	Ccin:CC1G_05416T0	2.64	1.67	1.58
Ccin:CC1G_11424T0	Ccin:CC1G_11413T0	0.48	0.28	1.72
Ccin:CC1G_04779T0	Ccin:CC1G_05416T0	2.07	1.68	1.23
Ccin:CC1G_13806T0	Ccin:CC1G_11413T0	2.84	1.22	2.34
Ccin:CC1G_02116T0	Ccin:CC1G_11413T0	2.24	1.10	2.03
Ccin:CC1G_11422T0	Ccin:CC1G_02123T0	NA	1.02	NA
Ccin:CC1G_04770T0	Ccin:CC1G_05416T0	3.23	1.67	1.94
Ccin:CC1G_02121T0	Ccin:CC1G_02123T0	4.06	1.00	4.04
Ccin:CC1G_07844T0	Ccin:CC1G_05416T0	NA	1.00	NA
Ccin:CC1G_13332T0	Ccin:CC1G_02123T0	2.40	1.22	1.96
Ccin:CC1G_02708T0	Ccin:CC1G_05416T0	3.01	0.72	4.16
Ccin:CC1G_11425T0	Ccin:CC1G_02123T0	3.02	1.13	2.66
Ccin:CC1G_05403T0	Ccin:CC1G_05416T0	2.35	0.51	4.62
Ccin:CC1G_11424T0	Ccin:CC1G_02123T0	2.49	1.07	2.33
Ccin:CC1G_15784T0	Ccin:CC1G_05416T0	NA	1.31	NA
Ccin:CC1G_02116T0	Ccin:CC1G_02123T0	NA	1.06	NA
Ccin:CC1G_04811T0	Ccin:CC1G_05416T0	NA	1.61	NA
Ccin:CC1G_11413T0	Ccin:CC1G_02123T0	3.81	1.11	3.43
Ccin:CC1G_05419T0	Ccin:CC1G_05416T0	2.33	0.50	4.67
Ccin:CC1G_06808T0	Ccin:CC1G_09718T0	NA	0.79	NA
Ccin:CC1G_06808T0	Ccin:CC1G_06809T0	2.13	0.76	2.81
Ccin:CC1G_15794T0	Ccin:CC1G_02261T0	2.86	0.81	3.53
Ccin:CC1G_09718T0	Ccin:CC1G_06809T0	NA	0.75	NA
Ccin:CC1G_13610T0	Ccin:CC1G_02261T0	4.01	1.17	3.42
Ccin:CC1G_00657T0	Ccin:CC1G_11146T0	NA	0.78	NA
Ccin:CC1G_14740T0	Ccin:CC1G_02261T0	NA	0.73	NA
Ccin:CC1G_05778T0	Ccin:CC1G_05776T0	1.54	0.23	6.58
Ccin:CC1G_04779T0	Ccin:CC1G_02261T0	NA	0.64	NA
Ccin:CC1G_05778T0	Ccin:CC1G_11188T0	1.66	0.38	4.38
Ccin:CC1G_05776T0	Ccin:CC1G_11188T0	0.28	0.23	1.25
Ccin:CC1G_04793T0	Ccin:CC1G_02261T0	NA	0.98	NA
Ccin:CC1G_06035T0	Ccin:CC1G_06040T0	0.12	0.03	4.80
Ccin:CC1G_04770T0	Ccin:CC1G_02261T0	NA	0.75	NA
Ccin:CC1G_14600T0	Ccin:CC1G_11229T0	2.53	1.00	2.53
Ccin:CC1G_07844T0	Ccin:CC1G_02261T0	NA	0.63	NA
Ccin:CC1G_14600T0	Ccin:CC1G_11381T0	2.09	0.92	2.26
Ccin:CC1G_11229T0	Ccin:CC1G_11381T0	2.42	0.75	3.21
Ccin:CC1G_02708T0	Ccin:CC1G_02261T0	NA	1.02	NA
Ccin:CC1G_13670T0	Ccin:CC1G_10805T0	1.85	0.43	4.28
Ccin:CC1G_05403T0	Ccin:CC1G_02261T0	NA	0.95	NA
Ccin:CC1G_08657T0	Ccin:CC1G_11217T0	NA	0.58	NA
Ccin:CC1G_15784T0	Ccin:CC1G_02261T0	NA	0.65	NA
Ccin:CC1G_04811T0	Ccin:CC1G_02261T0	NA	0.64	NA
Ccin:CC1G_08943T0	Ccin:CC1G_10744T0	NA	1.65	NA
Ccin:CC1G_08943T0	Ccin:CC1G_09058T0	NA	1.58	NA
Ccin:CC1G_05419T0	Ccin:CC1G_02261T0	NA	0.91	NA
Ccin:CC1G_10744T0	Ccin:CC1G_09058T0	NA	1.04	NA
Ccin:CC1G_05416T0	Ccin:CC1G_02261T0	NA	0.94	NA
Ccin:CC1G_08943T0	Ccin:CC1G_04927T0	NA	1.17	NA
Ccin:CC1G_15794T0	Ccin:CC1G_08645T0	2.23	0.41	5.48
Ccin:CC1G_10744T0	Ccin:CC1G_04927T0	NA	1.08	NA
Ccin:CC1G_09058T0	Ccin:CC1G_04927T0	NA	0.80	NA
Ccin:CC1G_13610T0	Ccin:CC1G_08645T0	1.44	0.47	3.04
Ccin:CC1G_08943T0	Ccin:CC1G_04921T0	NA	1.20	NA
Ccin:CC1G_14740T0	Ccin:CC1G_08645T0	NA	1.17	NA
Ccin:CC1G_10744T0	Ccin:CC1G_04921T0	NA	1.13	NA
Ccin:CC1G_09058T0	Ccin:CC1G_04921T0	NA	0.78	NA
Ccin:CC1G_04779T0	Ccin:CC1G_08645T0	NA	1.14	NA
Ccin:CC1G_04927T0	Ccin:CC1G_04921T0	NA	0.58	NA
Ccin:CC1G_04793T0	Ccin:CC1G_08645T0	NA	1.58	NA
Ccin:CC1G_08943T0	Ccin:CC1G_04916T0	NA	1.06	NA
Ccin:CC1G_04770T0	Ccin:CC1G_08645T0	NA	1.11	NA
Ccin:CC1G_10744T0	Ccin:CC1G_04916T0	4.04	1.24	3.26
Ccin:CC1G_07844T0	Ccin:CC1G_08645T0	3.03	1.02	2.98
Ccin:CC1G_09058T0	Ccin:CC1G_04916T0	NA	0.91	NA
Ccin:CC1G_04927T0	Ccin:CC1G_04916T0	3.37	1.50	2.24
Ccin:CC1G_02708T0	Ccin:CC1G_08645T0	2.66	1.66	1.61
Ccin:CC1G_04921T0	Ccin:CC1G_04916T0	2.79	1.57	1.77
Ccin:CC1G_05403T0	Ccin:CC1G_08645T0	NA	1.50	NA
Ccin:CC1G_08943T0	Ccin:CC1G_14341T0	NA	1.04	NA
Ccin:CC1G_10744T0	Ccin:CC1G_14341T0	NA	1.00	NA
Ccin:CC1G_15784T0	Ccin:CC1G_08645T0	4.83	0.99	4.87
Ccin:CC1G_09058T0	Ccin:CC1G_14341T0	NA	1.24	NA
Ccin:CC1G_04811T0	Ccin:CC1G_08645T0	NA	1.07	NA
Ccin:CC1G_04927T0	Ccin:CC1G_14341T0	NA	0.79	NA
Ccin:CC1G_05419T0	Ccin:CC1G_08645T0	2.60	1.43	1.82
Ccin:CC1G_04921T0	Ccin:CC1G_14341T0	NA	0.71	NA
Ccin:CC1G_05416T0	Ccin:CC1G_08645T0	6.36	1.62	3.93
Ccin:CC1G_04916T0	Ccin:CC1G_14341T0	NA	0.91	NA
Ccin:CC1G_02261T0	Ccin:CC1G_08645T0	NA	0.96	NA
Ccin:CC1G_08943T0	Ccin:CC1G_08432T0	NA	0.98	NA
Ccin:CC1G_15794T0	Ccin:CC1G_01624T0	NA	0.89	NA
Ccin:CC1G_10744T0	Ccin:CC1G_08432T0	NA	1.02	NA
Ccin:CC1G_13610T0	Ccin:CC1G_01624T0	NA	1.30	NA
Ccin:CC1G_09058T0	Ccin:CC1G_08432T0	NA	0.90	NA
Ccin:CC1G_14740T0	Ccin:CC1G_01624T0	NA	1.00	NA
Ccin:CC1G_04927T0	Ccin:CC1G_08432T0	2.87	0.90	3.18
Ccin:CC1G_04921T0	Ccin:CC1G_08432T0	NA	0.85	NA
Ccin:CC1G_04779T0	Ccin:CC1G_01624T0	NA	0.90	NA
Ccin:CC1G_04916T0	Ccin:CC1G_08432T0	NA	1.77	NA
Ccin:CC1G_04793T0	Ccin:CC1G_01624T0	2.95	0.93	3.17
Ccin:CC1G_14341T0	Ccin:CC1G_08432T0	NA	0.66	NA
Ccin:CC1G_04770T0	Ccin:CC1G_01624T0	3.26	1.36	2.39
Ccin:CC1G_08943T0	Ccin:CC1G_06502T0	NA	1.23	NA
Ccin:CC1G_10744T0	Ccin:CC1G_06502T0	2.43	1.54	1.58
Ccin:CC1G_09058T0	Ccin:CC1G_06502T0	NA	1.29	NA
Ccin:CC1G_04927T0	Ccin:CC1G_06502T0	NA	1.19	NA
Ccin:CC1G_04921T0	Ccin:CC1G_06502T0	NA	1.04	NA
Ccin:CC1G_04916T0	Ccin:CC1G_06502T0	NA	1.44	NA
Ccin:CC1G_14341T0	Ccin:CC1G_06502T0	1.95	0.59	3.29
Ccin:CC1G_08432T0	Ccin:CC1G_06502T0	NA	1.01	NA
Ccin:CC1G_04470T0	Ccin:CC1G_03122T0	1.91	0.77	2.47
Ccin:CC1G_04470T0	Ccin:CC1G_10606T0	NA	0.64	NA
Ccin:CC1G_08645T0	Ccin:CC1G_01624T0	NA	1.02	NA
Ccin:CC1G_03122T0	Ccin:CC1G_10606T0	3.42	0.70	4.91
Ccin:CC1G_04470T0	Ccin:CC1G_10615T0	1.01	0.59	1.72
Ccin:CC1G_03122T0	Ccin:CC1G_10615T0	2.66	0.58	4.61
Ccin:CC1G_10606T0	Ccin:CC1G_10615T0	2.07	0.45	4.63
Ccin:CC1G_04470T0	Ccin:CC1G_10592T0	1.05	0.63	1.68
Ccin:CC1G_03122T0	Ccin:CC1G_10592T0	3.14	0.53	5.97
Ccin:CC1G_10606T0	Ccin:CC1G_10592T0	1.82	0.45	4.04
Ccin:CC1G_13199T0	Ccin:CC1G_04950T0	1.63	0.51	3.22
Ccin:CC1G_07265T0	Ccin:CC1G_01645T0	NA	0.34	NA
Ccin:CC1G_07231T0	Ccin:CC1G_01645T0	1.87	0.78	2.39
Ccin:CC1G_07272T0	Ccin:CC1G_01645T0	1.03	0.32	3.25
Ccin:CC1G_07265T0	Ccin:CC1G_07269T0	1.55	0.29	5.31
Ccin:CC1G_01639T0	Ccin:CC1G_02491T0	NA	0.82	NA
Ccin:CC1G_07627T0	Ccin:CC1G_07626T0	0.52	0.09	6.11
Ccin:CC1G_13633T0	Ccin:CC1G_05796T0	NA	1.25	NA
Ccin:CC1G_13633T0	Ccin:CC1G_02430T0	NA	0.83	NA
Ccin:CC1G_07265T0	Ccin:CC1G_07267T0	1.60	0.62	2.58
Ccin:CC1G_05796T0	Ccin:CC1G_02430T0	NA	1.41	NA
Ccin:CC1G_07236T0	Ccin:CC1G_07267T0	2.95	0.72	4.11
Ccin:CC1G_13633T0	Ccin:CC1G_15148T0	NA	1.17	NA
Ccin:CC1G_05796T0	Ccin:CC1G_15148T0	NA	1.24	NA
Ccin:CC1G_13610T0	Ccin:CC1G_02717T0	NA	1.12	NA
Ccin:CC1G_02430T0	Ccin:CC1G_15148T0	1.23	0.55	2.25
Ccin:CC1G_08153T0	Ccin:CC1G_11641T0	NA	1.02	NA
Ccin:CC1G_07260T0	Ccin:CC1G_07267T0	NA	0.72	NA
Ccin:CC1G_14321T0	Ccin:CC1G_02801T0	NA	0.79	NA
Ccin:CC1G_14321T0	Ccin:CC1G_13565T0	NA	0.73	NA
Ccin:CC1G_02801T0	Ccin:CC1G_13565T0	NA	0.35	NA
Ccin:CC1G_01526T0	Ccin:CC1G_07267T0	NA	0.59	NA
Ccin:CC1G_14321T0	Ccin:CC1G_14320T0	3.25	1.54	2.11
Ccin:CC1G_02801T0	Ccin:CC1G_14320T0	3.13	1.42	2.20
Ccin:CC1G_13565T0	Ccin:CC1G_14320T0	2.67	1.34	2.00
Ccin:CC1G_00164T0	Ccin:CC1G_00729T0	2.03	0.94	2.16
Ccin:CC1G_04950T0	Ccin:CC1G_07267T0	1.75	0.52	3.33
Ccin:CC1G_00164T0	Ccin:CC1G_02051T0	2.31	0.81	2.83
Ccin:CC1G_00729T0	Ccin:CC1G_02051T0	NA	0.77	NA
Ccin:CC1G_07269T0	Ccin:CC1G_07267T0	1.10	0.45	2.44
Ccin:CC1G_10825T0	Ccin:CC1G_00877T0	NA	0.79	NA
Ccin:CC1G_10825T0	Ccin:CC1G_01803T0	NA	0.71	NA
Ccin:CC1G_00877T0	Ccin:CC1G_01803T0	2.83	0.74	3.83
Ccin:CC1G_07080T0	Ccin:CC1G_12760T0	NA	0.50	NA
Ccin:CC1G_07559T0	Ccin:CC1G_10145T0	1.33	0.30	4.49
Ccin:CC1G_07080T0	Ccin:CC1G_12758T0	NA	0.57	NA
Ccin:CC1G_12760T0	Ccin:CC1G_12758T0	1.48	0.43	3.42
Ccin:CC1G_14325T0	Ccin:CC1G_05930T0	NA	1.01	NA
Ccin:CC1G_14325T0	Ccin:CC1G_08436T0	2.34	1.04	2.26
Ccin:CC1G_08628T0	Ccin:CC1G_02717T0	27.55	0.41	67.52
Ccin:CC1G_08624T0	Ccin:CC1G_02717T0	NA	0.63	NA
Ccin:CC1G_14325T0	Ccin:CC1G_05955T0	1.99	0.96	2.08
Ccin:CC1G_15794T0	Ccin:CC1G_07983T0	NA	0.45	NA
Ccin:CC1G_05930T0	Ccin:CC1G_05955T0	5.22	0.96	5.44
Ccin:CC1G_08436T0	Ccin:CC1G_05955T0	1.55	0.96	1.62
Ccin:CC1G_13610T0	Ccin:CC1G_07983T0	NA	1.37	NA
Ccin:CC1G_06451T0	Ccin:CC1G_10193T0	2.16	0.50	4.28
Ccin:CC1G_14740T0	Ccin:CC1G_07983T0	NA	0.92	NA
Ccin:CC1G_06451T0	Ccin:CC1G_04713T0	NA	0.46	NA
Ccin:CC1G_04779T0	Ccin:CC1G_07983T0	NA	0.87	NA
Ccin:CC1G_10193T0	Ccin:CC1G_04713T0	NA	0.29	NA
Ccin:CC1G_01142T0	Ccin:CC1G_06456T0	3.41	0.90	3.80
Ccin:CC1G_04793T0	Ccin:CC1G_07983T0	NA	0.84	NA
Ccin:CC1G_01142T0	Ccin:CC1G_06972T0	NA	0.79	NA
Ccin:CC1G_06456T0	Ccin:CC1G_06972T0	NA	0.86	NA
Ccin:CC1G_11025T0	Ccin:CC1G_07029T0	NA	0.49	NA
Ccin:CC1G_12099T0	Ccin:CC1G_15176T0	3.11	1.08	2.87
Ccin:CC1G_10973T0	Ccin:CC1G_05254T0	NA	0.66	NA
Ccin:CC1G_10973T0	Ccin:CC1G_05828T0	2.11	0.50	4.24
Ccin:CC1G_05254T0	Ccin:CC1G_05828T0	NA	0.58	NA
Ccin:CC1G_04734T0	Ccin:CC1G_14260T0	NA	1.57	NA
Ccin:CC1G_10973T0	Ccin:CC1G_15713T0	1.86	0.50	3.72
Ccin:CC1G_05254T0	Ccin:CC1G_15713T0	2.01	0.58	3.50
Ccin:CC1G_05828T0	Ccin:CC1G_15713T0	0.25	0.06	4.52
Ccin:CC1G_12662T0	Ccin:CC1G_07641T0	NA	0.96	NA
Ccin:CC1G_14260T0	Ccin:CC1G_03282T0	NA	0.46	NA
Ccin:CC1G_12662T0	Ccin:CC1G_03345T0	2.49	0.93	2.68
Ccin:CC1G_08645T0	Ccin:CC1G_07983T0	NA	0.33	NA
Ccin:CC1G_07641T0	Ccin:CC1G_03345T0	1.99	0.60	3.34
Ccin:CC1G_01624T0	Ccin:CC1G_07983T0	NA	0.85	NA
Ccin:CC1G_12662T0	Ccin:CC1G_03521T0	3.74	0.98	3.81
Ccin:CC1G_08628T0	Ccin:CC1G_07983T0	2.91	0.38	7.63
Ccin:CC1G_07641T0	Ccin:CC1G_03521T0	1.68	0.54	3.12
Ccin:CC1G_03345T0	Ccin:CC1G_03521T0	1.71	0.35	4.87
Ccin:CC1G_08624T0	Ccin:CC1G_07983T0	3.61	0.36	10.03
Ccin:CC1G_12662T0	Ccin:CC1G_02470T0	NA	1.02	NA
Ccin:CC1G_02717T0	Ccin:CC1G_07983T0	NA	0.32	NA
Ccin:CC1G_07641T0	Ccin:CC1G_02470T0	3.39	0.52	6.51
Ccin:CC1G_15794T0	Ccin:CC1G_07989T0	1.35	0.41	3.27
Ccin:CC1G_03345T0	Ccin:CC1G_02470T0	1.46	0.34	4.36
Ccin:CC1G_13610T0	Ccin:CC1G_07989T0	NA	0.99	NA
Ccin:CC1G_03521T0	Ccin:CC1G_02470T0	2.10	0.26	8.14
Ccin:CC1G_14740T0	Ccin:CC1G_07989T0	NA	1.20	NA
Ccin:CC1G_12662T0	Ccin:CC1G_03520T0	2.55	1.04	2.45
Ccin:CC1G_07641T0	Ccin:CC1G_03520T0	2.13	0.59	3.64
Ccin:CC1G_04779T0	Ccin:CC1G_07989T0	3.06	1.23	2.49
Ccin:CC1G_03345T0	Ccin:CC1G_03520T0	1.67	0.28	5.85
Ccin:CC1G_03521T0	Ccin:CC1G_03520T0	1.68	0.22	7.61
Ccin:CC1G_02470T0	Ccin:CC1G_03520T0	1.86	0.22	8.56
Ccin:CC1G_07741T0	Ccin:CC1G_05916T0	4.12	0.82	5.05
Ccin:CC1G_05901T0	Ccin:CC1G_05900T0	2.34	0.79	2.95
Ccin:CC1G_05901T0	Ccin:CC1G_01569T0	NA	0.80	NA
Ccin:CC1G_08095T0	Ccin:CC1G_08155T0	2.73	1.14	2.40
Ccin:CC1G_05900T0	Ccin:CC1G_01569T0	1.97	1.32	1.50
Ccin:CC1G_05901T0	Ccin:CC1G_14734T0	3.84	1.25	3.07
Ccin:CC1G_05900T0	Ccin:CC1G_14734T0	2.56	1.45	1.77
Ccin:CC1G_11089T0	Ccin:CC1G_08163T0	NA	1.20	NA
Ccin:CC1G_05416T0	Ccin:CC1G_07989T0	NA	1.49	NA
Ccin:CC1G_00857T0	Ccin:CC1G_00775T0	3.51	1.55	2.26
Ccin:CC1G_00857T0	Ccin:CC1G_00856T0	NA	1.19	NA
Ccin:CC1G_02261T0	Ccin:CC1G_07989T0	4.91	0.90	5.44
Ccin:CC1G_00775T0	Ccin:CC1G_00856T0	3.03	1.28	2.36
Ccin:CC1G_08645T0	Ccin:CC1G_07989T0	NA	0.58	NA
Ccin:CC1G_04864T0	Ccin:CC1G_01947T0	1.38	0.76	1.82
Ccin:CC1G_04864T0	Ccin:CC1G_08377T0	1.76	0.43	4.12
Ccin:CC1G_01624T0	Ccin:CC1G_07989T0	NA	0.90	NA
Ccin:CC1G_01947T0	Ccin:CC1G_08377T0	NA	0.99	NA
Ccin:CC1G_08628T0	Ccin:CC1G_07989T0	NA	0.43	NA
Ccin:CC1G_08624T0	Ccin:CC1G_07989T0	NA	0.62	NA
